[23:00:06] UPCALL packets diff: 19703, errors diff: 0
[23:00:07] UPCALL packets diff: 19621, errors diff: 0
[23:00:08] UPCALL packets diff: 25272, errors diff: 0
[23:00:09] UPCALL packets diff: 19235, errors diff: 0
[23:00:10] UPCALL packets diff: 25040, errors diff: 0
[23:00:11] UPCALL packets diff: 27018, errors diff: 0
[23:00:12] UPCALL packets diff: 22378, errors diff: 0
[23:00:13] UPCALL packets diff: 24061, errors diff: 0
[23:00:14] UPCALL packets diff: 21056, errors diff: 0
[23:00:15] UPCALL packets diff: 26110, errors diff: 0
[23:00:16] UPCALL packets diff: 26621, errors diff: 0
[23:00:17] UPCALL packets diff: 30284, errors diff: 0
[23:00:18] UPCALL packets diff: 21060, errors diff: 0
[23:00:19] UPCALL packets diff: 20979, errors diff: 0
[23:00:20] UPCALL packets diff: 21218, errors diff: 0
[23:00:21] UPCALL packets diff: 23430, errors diff: 0
[23:00:22] UPCALL packets diff: 22618, errors diff: 0
[23:00:23] UPCALL packets diff: 25033, errors diff: 0
[23:00:24] UPCALL packets diff: 21401, errors diff: 0
[23:00:26] UPCALL packets diff: 30606, errors diff: 0
[23:00:27] UPCALL packets diff: 22938, errors diff: 0
[23:00:28] UPCALL packets diff: 20277, errors diff: 0
[23:00:29] UPCALL packets diff: 18455, errors diff: 0
[23:00:30] UPCALL packets diff: 16205, errors diff: 0
[23:00:31] UPCALL packets diff: 17605, errors diff: 0
[23:00:32] UPCALL packets diff: 21204, errors diff: 0
[23:00:33] UPCALL packets diff: 17570, errors diff: 0
[23:00:34] UPCALL packets diff: 29218, errors diff: 0
[23:00:35] UPCALL packets diff: 20901, errors diff: 0
[23:00:36] UPCALL packets diff: 24357, errors diff: 0
[23:00:37] UPCALL packets diff: 25270, errors diff: 0
[23:00:38] UPCALL packets diff: 21678, errors diff: 0
[23:00:39] UPCALL packets diff: 23389, errors diff: 0
[23:00:40] UPCALL packets diff: 14926, errors diff: 0
[23:00:41] UPCALL packets diff: 21139, errors diff: 0
[23:00:42] UPCALL packets diff: 24668, errors diff: 0
[23:00:43] UPCALL packets diff: 19191, errors diff: 0
[23:00:44] UPCALL packets diff: 18893, errors diff: 0
[23:00:45] UPCALL packets diff: 22256, errors diff: 0
[23:00:46] UPCALL packets diff: 12875, errors diff: 0
[23:00:47] UPCALL packets diff: 18385, errors diff: 0
[23:00:48] UPCALL packets diff: 26037, errors diff: 0
[23:00:49] UPCALL packets diff: 17492, errors diff: 0
[23:00:50] UPCALL packets diff: 20550, errors diff: 0
[23:00:51] UPCALL packets diff: 16520, errors diff: 0
[23:00:52] UPCALL packets diff: 14111, errors diff: 0
[23:00:53] UPCALL packets diff: 19189, errors diff: 0
[23:00:54] UPCALL packets diff: 16459, errors diff: 0
[23:00:55] UPCALL packets diff: 17353, errors diff: 0
[23:00:56] UPCALL packets diff: 19451, errors diff: 0
[23:00:57] UPCALL packets diff: 16550, errors diff: 0
[23:00:58] UPCALL packets diff: 16214, errors diff: 0
[23:00:59] UPCALL packets diff: 20479, errors diff: 0
[23:01:00] UPCALL packets diff: 25337, errors diff: 0
[23:01:01] UPCALL packets diff: 14641, errors diff: 0
[23:01:02] UPCALL packets diff: 24104, errors diff: 0
[23:01:03] UPCALL packets diff: 15692, errors diff: 0
[23:01:04] UPCALL packets diff: 15278, errors diff: 0
[23:01:05] UPCALL packets diff: 12060, errors diff: 0
[23:01:06] UPCALL packets diff: 15002, errors diff: 0
[23:01:07] UPCALL packets diff: 15033, errors diff: 0
[23:01:08] UPCALL packets diff: 13681, errors diff: 0
[23:01:09] UPCALL packets diff: 20282, errors diff: 0
[23:01:10] UPCALL packets diff: 14715, errors diff: 0
[23:01:11] UPCALL packets diff: 20121, errors diff: 0
[23:01:12] UPCALL packets diff: 20413, errors diff: 0
[23:01:13] UPCALL packets diff: 18931, errors diff: 0
[23:01:14] UPCALL packets diff: 16663, errors diff: 0
[23:01:15] UPCALL packets diff: 15164, errors diff: 0
[23:01:16] UPCALL packets diff: 17361, errors diff: 0
[23:01:17] UPCALL packets diff: 16227, errors diff: 0
[23:01:18] UPCALL packets diff: 18891, errors diff: 0
