[22:58:24] port 4: pod2, UPCALL packets:52 errors:0
[22:58:24] port 5: pod3, UPCALL packets:128 errors:0
[22:58:24] port 6: pod4, UPCALL packets:156 errors:0
[22:58:24] port 7: pod5, UPCALL packets:177 errors:0
[22:58:24] port 8: pod6, UPCALL packets:379 errors:0
[22:58:24] port 9: pod7, UPCALL packets:327 errors:0
[22:58:24] port 10: pod8, UPCALL packets:211 errors:0
[22:58:25] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:25] port 1: br-int, UPCALL packets:0 errors:0
[22:58:25] port 2: ens16f1np1, UPCALL packets:434561 errors:111
[22:58:25] port 3: pod1, UPCALL packets:100 errors:0
[22:58:25] port 4: pod2, UPCALL packets:64 errors:0
[22:58:25] port 5: pod3, UPCALL packets:128 errors:0
[22:58:25] port 6: pod4, UPCALL packets:156 errors:0
[22:58:25] port 7: pod5, UPCALL packets:177 errors:0
[22:58:25] port 8: pod6, UPCALL packets:379 errors:0
[22:58:25] port 9: pod7, UPCALL packets:327 errors:0
[22:58:25] port 10: pod8, UPCALL packets:211 errors:0
[22:58:26] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:26] port 1: br-int, UPCALL packets:0 errors:0
[22:58:26] port 2: ens16f1np1, UPCALL packets:502620 errors:111
[22:58:26] port 3: pod1, UPCALL packets:108 errors:0
[22:58:26] port 4: pod2, UPCALL packets:77 errors:0
[22:58:26] port 5: pod3, UPCALL packets:128 errors:0
[22:58:26] port 6: pod4, UPCALL packets:156 errors:0
[22:58:26] port 7: pod5, UPCALL packets:177 errors:0
[22:58:26] port 8: pod6, UPCALL packets:379 errors:0
[22:58:26] port 9: pod7, UPCALL packets:339 errors:0
[22:58:26] port 10: pod8, UPCALL packets:211 errors:0
[22:58:27] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:27] port 1: br-int, UPCALL packets:0 errors:0
[22:58:27] port 2: ens16f1np1, UPCALL packets:564651 errors:111
[22:58:27] port 3: pod1, UPCALL packets:109 errors:0
[22:58:27] port 4: pod2, UPCALL packets:78 errors:0
[22:58:27] port 5: pod3, UPCALL packets:129 errors:0
[22:58:27] port 6: pod4, UPCALL packets:168 errors:0
[22:58:27] port 7: pod5, UPCALL packets:178 errors:0
[22:58:27] port 8: pod6, UPCALL packets:380 errors:0
[22:58:27] port 9: pod7, UPCALL packets:340 errors:0
[22:58:27] port 10: pod8, UPCALL packets:212 errors:0
[22:58:28] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:28] port 1: br-int, UPCALL packets:0 errors:0
[22:58:28] port 2: ens16f1np1, UPCALL packets:628275 errors:111
[22:58:28] port 3: pod1, UPCALL packets:109 errors:0
[22:58:28] port 4: pod2, UPCALL packets:78 errors:0
[22:58:28] port 5: pod3, UPCALL packets:129 errors:0
[22:58:28] port 6: pod4, UPCALL packets:169 errors:0
[22:58:28] port 7: pod5, UPCALL packets:178 errors:0
[22:58:28] port 8: pod6, UPCALL packets:380 errors:0
[22:58:28] port 9: pod7, UPCALL packets:340 errors:0
[22:58:28] port 10: pod8, UPCALL packets:212 errors:0
[22:58:29] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:29] port 1: br-int, UPCALL packets:0 errors:0
[22:58:29] port 2: ens16f1np1, UPCALL packets:700509 errors:111
[22:58:29] port 3: pod1, UPCALL packets:109 errors:0
[22:58:29] port 4: pod2, UPCALL packets:78 errors:0
[22:58:29] port 5: pod3, UPCALL packets:129 errors:0
[22:58:29] port 6: pod4, UPCALL packets:169 errors:0
[22:58:29] port 7: pod5, UPCALL packets:178 errors:0
[22:58:29] port 8: pod6, UPCALL packets:380 errors:0
[22:58:29] port 9: pod7, UPCALL packets:340 errors:0
[22:58:29] port 10: pod8, UPCALL packets:212 errors:0
[22:58:30] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:30] port 1: br-int, UPCALL packets:0 errors:0
[22:58:30] port 2: ens16f1np1, UPCALL packets:762836 errors:111
[22:58:30] port 3: pod1, UPCALL packets:109 errors:0
[22:58:30] port 4: pod2, UPCALL packets:78 errors:0
[22:58:30] port 5: pod3, UPCALL packets:141 errors:0
[22:58:30] port 6: pod4, UPCALL packets:169 errors:0
[22:58:30] port 7: pod5, UPCALL packets:178 errors:0
[22:58:30] port 8: pod6, UPCALL packets:380 errors:0
[22:58:30] port 9: pod7, UPCALL packets:340 errors:0
[22:58:30] port 10: pod8, UPCALL packets:212 errors:0
[22:58:31] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:31] port 1: br-int, UPCALL packets:0 errors:0
[22:58:31] port 2: ens16f1np1, UPCALL packets:818750 errors:111
[22:58:31] port 3: pod1, UPCALL packets:109 errors:0
[22:58:31] port 4: pod2, UPCALL packets:78 errors:0
[22:58:31] port 5: pod3, UPCALL packets:141 errors:0
[22:58:31] port 6: pod4, UPCALL packets:169 errors:0
[22:58:31] port 7: pod5, UPCALL packets:178 errors:0
[22:58:31] port 8: pod6, UPCALL packets:380 errors:0
[22:58:31] port 9: pod7, UPCALL packets:340 errors:0
[22:58:31] port 10: pod8, UPCALL packets:212 errors:0
[22:58:32] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:32] port 1: br-int, UPCALL packets:0 errors:0
[22:58:32] port 2: ens16f1np1, UPCALL packets:860510 errors:111
[22:58:32] port 3: pod1, UPCALL packets:109 errors:0
[22:58:32] port 4: pod2, UPCALL packets:78 errors:0
[22:58:32] port 5: pod3, UPCALL packets:141 errors:0
[22:58:32] port 6: pod4, UPCALL packets:169 errors:0
[22:58:32] port 7: pod5, UPCALL packets:178 errors:0
[22:58:32] port 8: pod6, UPCALL packets:380 errors:0
[22:58:32] port 9: pod7, UPCALL packets:340 errors:0
[22:58:32] port 10: pod8, UPCALL packets:212 errors:0
[22:58:33] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:33] port 1: br-int, UPCALL packets:0 errors:0
[22:58:33] port 2: ens16f1np1, UPCALL packets:943844 errors:1385
[22:58:33] port 3: pod1, UPCALL packets:109 errors:0
[22:58:33] port 4: pod2, UPCALL packets:78 errors:0
[22:58:33] port 5: pod3, UPCALL packets:141 errors:0
[22:58:33] port 6: pod4, UPCALL packets:169 errors:0
[22:58:33] port 7: pod5, UPCALL packets:178 errors:0
[22:58:33] port 8: pod6, UPCALL packets:380 errors:0
[22:58:33] port 9: pod7, UPCALL packets:340 errors:0
[22:58:33] port 10: pod8, UPCALL packets:212 errors:0
[22:58:34] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:34] port 1: br-int, UPCALL packets:0 errors:0
[22:58:34] port 2: ens16f1np1, UPCALL packets:997758 errors:1545
[22:58:34] port 3: pod1, UPCALL packets:109 errors:0
[22:58:34] port 4: pod2, UPCALL packets:78 errors:0
[22:58:34] port 5: pod3, UPCALL packets:141 errors:0
[22:58:34] port 6: pod4, UPCALL packets:169 errors:0
[22:58:34] port 7: pod5, UPCALL packets:178 errors:0
[22:58:34] port 8: pod6, UPCALL packets:380 errors:0
[22:58:34] port 9: pod7, UPCALL packets:340 errors:0
[22:58:34] port 10: pod8, UPCALL packets:212 errors:0
[22:58:35] port 0: ovs-system, UPCALL packets:106455 errors:39550
