Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:09:40 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:09:41 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:09:41 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:09:42 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:09:42 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:09:43 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:09:43 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:09:44 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:09:44 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:09:45 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:09:45 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:09:46 AM     0   2497348         -    1.00    0.00    0.00    0.00    1.00     9  python3
12:09:46 AM     0         -   2497348    1.00    0.00    0.00    0.00    1.00     9  |__python3
12:09:47 AM     0   2497348         -    5.94    1.98    0.00    0.00    7.92     1  python3
12:09:47 AM     0         -   2497348    5.94    1.98    0.00    0.00    7.92     1  |__python3
12:09:48 AM     0   2497348         -    4.00    1.00    0.00    0.00    5.00    11  python3
12:09:48 AM     0         -   2497348    4.00    1.00    0.00    0.00    5.00    11  |__python3
12:09:49 AM     0   2497348         -    7.00    2.00    0.00    2.00    9.00     1  python3
12:09:49 AM     0         -   2497348    7.00    2.00    0.00    2.00    9.00     1  |__python3
12:09:50 AM     0   2497348         -    6.00    2.00    0.00    1.00    8.00    10  python3
12:09:50 AM     0         -   2497348    6.00    2.00    0.00    1.00    8.00    10  |__python3
12:09:51 AM     0   2497348         -    9.00    4.00    0.00    3.00   13.00    11  python3
12:09:51 AM     0         -   2497348    9.00    4.00    0.00    3.00   13.00    11  |__python3
12:09:52 AM     0   2497348         -    6.00    2.00    0.00    7.00    8.00    13  python3
12:09:52 AM     0         -   2497348    6.00    2.00    0.00    7.00    8.00    13  |__python3
12:09:53 AM     0   2497348         -    6.00    3.00    0.00   10.00    9.00    13  python3
12:09:53 AM     0         -   2497348    6.00    3.00    0.00   10.00    9.00    13  |__python3
12:09:54 AM     0   2497348         -    6.00    2.00    0.00    7.00    8.00    12  python3
12:09:54 AM     0         -   2497348    6.00    2.00    0.00    7.00    8.00    12  |__python3
12:09:55 AM     0   2497348         -    4.00    1.00    0.00    4.00    5.00     5  python3
12:09:55 AM     0         -   2497348    4.00    1.00    0.00    4.00    5.00     5  |__python3
12:09:56 AM     0   2497348         -    9.00    3.00    0.00   14.00   12.00     6  python3
12:09:56 AM     0         -   2497348    9.00    3.00    0.00   14.00   12.00     6  |__python3
12:09:57 AM     0   2497348         -   14.85    3.96    0.00   13.86   18.81    12  python3
12:09:57 AM     0         -   2497348   14.85    3.96    0.00   13.86   18.81    12  |__python3
12:09:58 AM     0   2497348         -    7.00    2.00    0.00   12.00    9.00     8  python3
12:09:58 AM     0         -   2497348    7.00    2.00    0.00   12.00    9.00     8  |__python3
12:09:59 AM     0   2497348         -    4.00    1.00    0.00    7.00    5.00     7  python3
12:09:59 AM     0         -   2497348    4.00    1.00    0.00    7.00    5.00     7  |__python3
12:10:00 AM     0   2497348         -    8.00    4.00    0.00   15.00   12.00     3  python3
12:10:00 AM     0         -   2497348    8.00    4.00    0.00   15.00   12.00     3  |__python3
12:10:01 AM     0   2497348         -    7.00    2.00    0.00   10.00    9.00     0  python3
12:10:01 AM     0         -   2497348    7.00    2.00    0.00   10.00    9.00     0  |__python3
12:10:02 AM     0   2497348         -   14.00    2.00    0.00   10.00   16.00    15  python3
12:10:02 AM     0         -   2497348   14.00    2.00    0.00   10.00   16.00    15  |__python3
12:10:03 AM     0   2497348         -   15.00    6.00    0.00   17.00   21.00    15  python3
12:10:03 AM     0         -   2497348   15.00    6.00    0.00   17.00   21.00    15  |__python3
12:10:04 AM     0   2497348         -   15.84    4.95    0.00   18.81   20.79     3  python3
12:10:04 AM     0         -   2497348   15.84    4.95    0.00   18.81   20.79     3  |__python3
12:10:05 AM     0   2497348         -   22.00    6.00    0.00    9.00   28.00     4  python3
12:10:05 AM     0         -   2497348   22.00    6.00    0.00    9.00   28.00     4  |__python3
12:10:06 AM     0   2497348         -    7.00    2.00    0.00   13.00    9.00     5  python3
12:10:06 AM     0         -   2497348    7.00    2.00    0.00   13.00    9.00     5  |__python3
12:10:07 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00     5  python3
12:10:07 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00     5  |__python3
12:10:08 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00     5  python3
12:10:08 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00     5  |__python3
12:10:09 AM     0   2497348         -    0.00    0.00    0.00    0.00    0.00     5  python3
12:10:09 AM     0         -   2497348    0.00    0.00    0.00    0.00    0.00     5  |__python3

Average:        0   2497348         -    6.17    1.93    0.00    5.99    8.10     -  python3
Average:        0         -   2497348    6.17    1.93    0.00    5.99    8.10     -  |__python3
