Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:22:16 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:22:17 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:17 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:18 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:18 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:19 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:19 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:20 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:20 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:21 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:21 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:22 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:22:22 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:22:23 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     0  python3
12:22:23 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     0  |__python3
12:22:24 AM     0   2516725         -    1.00    0.00    0.00    0.00    1.00     6  python3
12:22:24 AM     0         -   2516725    1.00    0.00    0.00    0.00    1.00     6  |__python3
12:22:25 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:22:25 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:22:26 AM     0   2516725         -    0.00    0.00    0.00    0.00    0.00     3  python3
12:22:26 AM     0         -   2516725    0.00    0.00    0.00    0.00    0.00     3  |__python3
12:22:27 AM     0   2516725         -    0.00    1.00    0.00    0.00    1.00     1  python3
12:22:27 AM     0         -   2516725    0.00    1.00    0.00    0.00    1.00     1  |__python3
12:22:28 AM     0   2516725         -   14.00    8.00    0.00   20.00   22.00    13  python3
12:22:28 AM     0         -   2516725   14.00    8.00    0.00   20.00   22.00    13  |__python3
12:22:29 AM     0   2516725         -   19.00   14.00    0.00   26.00   33.00     4  python3
12:22:29 AM     0         -   2516725   19.00   14.00    0.00   26.00   33.00     4  |__python3
12:22:30 AM     0   2516725         -   19.00   16.00    0.00   22.00   35.00    14  python3
12:22:30 AM     0         -   2516725   19.00   16.00    0.00   22.00   35.00    14  |__python3
12:22:31 AM     0   2516725         -   18.00   14.00    0.00   25.00   32.00     8  python3
12:22:31 AM     0         -   2516725   18.00   14.00    0.00   25.00   32.00     8  |__python3
12:22:32 AM     0   2516725         -   22.00   16.00    0.00   22.00   38.00     0  python3
12:22:32 AM     0         -   2516725   22.00   16.00    0.00   22.00   38.00     0  |__python3
12:22:33 AM     0   2516725         -   22.00   18.00    0.00   21.00   40.00     1  python3
