Time,%usr,%sys,%CPU
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:44,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:45,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:46,0.00,0.00,0.00
11:51:47,37.00,19.00,56.00
11:51:47,37.00,20.00,57.00
11:51:47,35.00,18.00,53.00
11:51:47,36.00,18.00,54.00
11:51:47,37.00,19.00,56.00
11:51:47,38.00,20.00,58.00
11:51:47,40.00,18.00,58.00
11:51:47,36.00,20.00,56.00
11:51:47,37.00,19.00,56.00
11:51:47,34.00,19.00,53.00
11:51:47,36.00,17.00,53.00
11:51:47,37.00,18.00,55.00
11:51:47,32.00,18.00,50.00
11:51:47,38.00,17.00,55.00
11:51:47,34.00,19.00,53.00
11:51:47,35.00,21.00,56.00
11:51:47,0.00,0.00,0.00
11:51:48,49.00,21.00,70.00
11:51:48,56.00,26.00,82.00
11:51:48,50.00,24.00,74.00
11:51:48,49.00,22.00,71.00
11:51:48,52.00,28.00,80.00
11:51:48,46.00,22.00,68.00
11:51:48,45.00,24.00,69.00
11:51:48,49.00,23.00,72.00
11:51:48,46.00,22.00,68.00
11:51:48,50.00,24.00,74.00
11:51:48,49.00,23.00,72.00
11:51:48,44.00,23.00,67.00
11:51:48,48.00,27.00,75.00
11:51:48,47.00,25.00,72.00
11:51:48,50.00,26.00,76.00
11:51:48,50.00,25.00,75.00
11:51:49,52.00,22.00,74.00
11:51:49,43.00,24.00,67.00
11:51:49,46.00,22.00,68.00
11:51:49,46.00,21.00,67.00
11:51:49,42.00,20.00,62.00
11:51:49,44.00,21.00,65.00
11:51:49,49.00,25.00,74.00
11:51:49,46.00,24.00,70.00
11:51:49,43.00,24.00,67.00
11:51:49,49.00,22.00,71.00
11:51:49,49.00,24.00,73.00
11:51:49,49.00,25.00,74.00
11:51:49,50.00,25.00,75.00
11:51:49,46.00,24.00,70.00
11:51:49,50.00,23.00,73.00
11:51:49,48.00,26.00,74.00
11:51:50,48.00,24.00,72.00
11:51:50,46.00,22.00,68.00
11:51:50,48.00,22.00,70.00
11:51:50,48.00,21.00,69.00
11:51:50,50.00,26.00,76.00
11:51:50,46.00,22.00,68.00
11:51:50,47.00,22.00,69.00
11:51:50,43.00,20.00,63.00
11:51:50,49.00,24.00,73.00
11:51:50,50.00,21.00,71.00
11:51:50,52.00,22.00,74.00
11:51:50,47.00,23.00,70.00
11:51:50,53.00,21.00,74.00
11:51:50,48.00,23.00,71.00
11:51:50,44.00,24.00,68.00
11:51:50,44.00,21.00,65.00
11:51:50,0.00,0.00,0.00
11:51:51,51.00,22.00,73.00
11:51:51,50.00,22.00,72.00
11:51:51,53.00,22.00,75.00
11:51:51,47.00,20.00,67.00
11:51:51,56.00,23.00,79.00
11:51:51,46.00,21.00,67.00
11:51:51,47.00,18.00,65.00
11:51:51,48.00,21.00,69.00
11:51:51,54.00,23.00,77.00
11:51:51,41.00,21.00,62.00
11:51:51,46.00,21.00,67.00
11:51:51,51.00,22.00,73.00
11:51:51,50.00,22.00,72.00
11:51:51,43.00,18.00,61.00
11:51:51,42.00,22.00,64.00
11:51:51,41.00,19.00,60.00
11:51:52,51.00,21.00,72.00
11:51:52,49.00,20.00,69.00
11:51:52,51.00,21.00,72.00
11:51:52,44.00,18.00,62.00
11:51:52,49.00,21.00,70.00
11:51:52,48.00,21.00,69.00
11:51:52,38.00,15.00,53.00
11:51:52,47.00,16.00,63.00
11:51:52,49.00,21.00,70.00
11:51:52,51.00,21.00,72.00
11:51:52,49.00,21.00,70.00
11:51:52,51.00,22.00,73.00
11:51:52,49.00,24.00,73.00
11:51:52,46.00,23.00,69.00
11:51:52,51.00,23.00,74.00
11:51:52,47.00,19.00,66.00
11:51:53,49.00,21.00,70.00
11:51:53,49.00,18.00,67.00
11:51:53,47.00,16.00,63.00
11:51:53,44.00,20.00,64.00
11:51:53,47.00,17.00,64.00
11:51:53,52.00,23.00,75.00
11:51:53,45.00,20.00,65.00
11:51:53,46.00,22.00,68.00
11:51:53,47.00,18.00,65.00
11:51:53,44.00,19.00,63.00
11:51:53,47.00,21.00,68.00
11:51:53,55.00,20.00,75.00
11:51:53,51.00,19.00,70.00
11:51:53,50.00,22.00,72.00
11:51:53,41.00,17.00,58.00
11:51:53,44.00,19.00,63.00
11:51:54,46.00,20.00,66.00
11:51:54,49.00,19.00,68.00
11:51:54,40.00,19.00,59.00
11:51:54,48.00,18.00,66.00
11:51:54,43.00,17.00,60.00
11:51:54,51.00,20.00,71.00
11:51:54,49.00,19.00,68.00
11:51:54,51.00,18.00,69.00
11:51:54,51.00,19.00,70.00
11:51:54,35.00,14.00,49.00
11:51:54,49.00,19.00,68.00
11:51:54,44.00,17.00,61.00
11:51:54,42.00,17.00,59.00
11:51:54,51.00,18.00,69.00
11:51:54,40.00,16.00,56.00
11:51:54,49.00,19.00,68.00
11:51:55,35.00,16.00,51.00
11:51:55,46.00,16.00,62.00
11:51:55,49.00,18.00,67.00
11:51:55,43.00,19.00,62.00
11:51:55,50.00,18.00,68.00
11:51:55,45.00,17.00,62.00
11:51:55,44.00,16.00,60.00
11:51:55,50.00,18.00,68.00
11:51:55,43.00,18.00,61.00
11:51:55,45.00,18.00,63.00
11:51:55,38.00,16.00,54.00
11:51:55,53.00,19.00,72.00
11:51:55,49.00,21.00,70.00
11:51:55,45.00,18.00,63.00
11:51:55,47.00,19.00,66.00
11:51:55,41.00,17.00,58.00
11:51:56,46.00,18.00,64.00
11:51:56,46.00,17.00,63.00
11:51:56,47.00,16.00,63.00
11:51:56,39.00,17.00,56.00
11:51:56,43.00,16.00,59.00
11:51:56,34.00,13.00,47.00
11:51:56,50.00,19.00,69.00
11:51:56,39.00,16.00,55.00
11:51:56,48.00,17.00,65.00
11:51:56,46.00,17.00,63.00
11:51:56,37.00,15.00,52.00
11:51:56,37.00,13.00,50.00
11:51:56,49.00,17.00,66.00
11:51:56,51.00,18.00,69.00
11:51:56,47.00,17.00,64.00
11:51:56,47.00,15.00,62.00
11:51:56,0.00,0.00,0.00
11:51:57,48.00,18.00,66.00
11:51:57,35.00,13.00,48.00
11:51:57,42.00,16.00,58.00
11:51:57,48.00,16.00,64.00
11:51:57,47.00,17.00,64.00
11:51:57,39.00,15.00,54.00
11:51:57,39.00,13.00,52.00
11:51:57,55.00,18.00,73.00
11:51:57,44.00,17.00,61.00
11:51:57,50.00,18.00,68.00
11:51:57,53.00,17.00,70.00
11:51:57,42.00,17.00,59.00
11:51:57,47.00,18.00,65.00
11:51:57,48.00,19.00,67.00
11:51:57,53.00,23.00,76.00
11:51:57,44.00,15.00,59.00
11:51:57,0.00,0.00,0.00
11:51:58,53.00,18.00,71.00
11:51:58,45.00,13.00,58.00
11:51:58,44.00,16.00,60.00
11:51:58,47.00,20.00,67.00
11:51:58,51.00,17.00,68.00
11:51:58,55.00,19.00,74.00
11:51:58,43.00,18.00,61.00
11:51:58,51.00,18.00,69.00
11:51:58,46.00,19.00,65.00
11:51:58,45.00,16.00,61.00
11:51:58,44.00,14.00,58.00
11:51:58,56.00,18.00,74.00
11:51:58,48.00,15.00,63.00
11:51:58,44.00,17.00,61.00
11:51:58,49.00,17.00,66.00
11:51:58,42.00,17.00,59.00
11:51:59,46.00,14.00,60.00
11:51:59,43.00,17.00,60.00
11:51:59,43.00,13.00,56.00
11:51:59,47.00,17.00,64.00
11:51:59,45.00,18.00,63.00
11:51:59,52.00,19.00,71.00
11:51:59,43.00,16.00,59.00
11:51:59,40.00,16.00,56.00
11:51:59,43.00,17.00,60.00
11:51:59,44.00,16.00,60.00
11:51:59,40.00,16.00,56.00
11:51:59,43.00,17.00,60.00
11:51:59,48.00,18.00,66.00
11:51:59,49.00,20.00,69.00
11:51:59,46.00,17.00,63.00
11:51:59,50.00,21.00,71.00
