0.06 0.25 0.06 0.13 0.06 0.06 0.00
0.06 0.06 0.06 0.00 0.06 0.00 0.19
0.00 0.06 0.06 0.06 0.06 0.00 0.06
0.50 0.25 0.32 0.50 0.00 0.06 0.00
0.38 0.50 0.31 0.25 0.12 0.06 0.19
0.38 0.44 0.69 0.25 0.25 0.25 0.19
0.56 0.44 0.13 0.43 0.25 0.19 0.06
0.31 0.44 0.38 0.19 0.12 0.25 0.00
0.50 0.38 0.57 0.31 0.18 0.12 0.06
0.37 0.50 0.12 0.31 0.25 0.12 0.06
0.50 0.31 0.56 0.31 0.00 0.00 0.00
0.50 0.50 0.31 0.06 0.25 0.06 0.12
0.13 0.44 0.25 0.37 0.19 0.31 0.06
0.56 0.19 0.69 0.25 0.12 0.00 0.06
0.38 0.57 0.06 0.25 0.18 0.18 0.12
0.44 0.25 0.38 0.19 0.12 0.18 0.00
0.50 0.50 0.62 0.31 0.12 0.19 0.37
0.12 0.37 0.13 0.25 0.12 0.06 0.06
0.56 0.38 0.25 0.25 0.31 0.12 0.06
0.38 0.44 0.62 0.19 0.06 0.00 0.00
0.19 0.25 0.12 0.12 0.12 0.25 0.06
0.62 0.44 0.12 0.43 0.19 0.18 0.12
0.19 0.31 0.69 0.06 0.18 0.12 0.00
0.00 0.12 0.00 0.00 0.06 0.12 0.12
