0.25 0.44 0.38 0.56 0.87 1.00 1.07
0.06 0.19 0.38 0.81 0.75 0.94 1.06
0.00 0.25 0.50 6.27 1.06 0.94 0.88
36.61 36.84 31.06 31.27 0.63 3.62 1.49
49.16 49.44 47.12 31.86 12.34 9.30 1.31
50.35 48.18 45.32 29.78 15.14 9.72 1.37
50.50 48.55 46.26 27.73 14.03 7.92 1.62
48.93 48.97 43.49 28.56 13.25 7.07 1.57
48.09 49.22 44.56 30.81 12.93 7.70 1.31
48.91 48.53 40.56 20.99 10.84 6.96 1.44
49.12 47.15 40.47 26.31 10.99 5.44 1.13
48.50 46.17 43.52 26.43 10.88 5.67 1.55
47.52 45.36 38.89 26.88 9.15 6.21 1.13
47.72 47.04 41.56 22.56 9.42 5.92 1.44
48.12 48.99 43.73 24.83 9.16 4.98 1.37
48.03 46.55 40.16 22.40 14.12 6.81 1.37
46.42 45.78 37.26 23.93 8.00 5.99 1.37
46.19 47.72 38.05 20.96 8.92 5.81 1.31
42.60 45.06 35.60 22.65 9.91 5.06 1.19
42.39 39.47 31.68 17.68 8.59 7.02 1.19
43.35 46.17 35.46 19.50 9.18 5.55 1.43
41.26 39.95 31.98 21.08 9.64 6.17 1.31
41.37 42.09 36.35 11.55 8.93 5.84 1.44
1.00 1.06 1.87 1.19 8.85 3.35 1.25
