99.31 98.94 98.94 98.62 98.19 97.88 98.24
99.62 99.31 99.19 98.50 98.49 98.31 97.76
99.87 99.37 98.88 87.78 98.01 98.25 97.99
31.60 35.33 41.35 39.14 98.62 91.27 91.97
12.20 14.37 16.44 38.40 72.47 73.59 92.55
12.87 16.21 19.20 43.43 64.55 72.92 92.39
13.78 16.42 19.96 46.59 66.50 75.88 92.42
14.74 17.16 22.90 46.00 67.93 77.06 92.36
16.68 17.72 22.63 43.66 69.15 76.96 92.57
15.87 18.66 29.28 59.07 72.06 77.70 92.57
17.96 21.76 30.20 50.89 72.28 80.79 92.80
18.06 22.37 26.84 51.18 72.74 79.90 91.92
20.59 25.03 31.81 49.72 75.03 78.80 92.92
18.84 22.71 28.56 55.50 75.31 79.70 92.75
15.83 19.41 22.81 52.40 74.74 80.80 92.40
17.05 21.18 28.76 55.45 67.86 77.68 92.51
18.38 22.48 32.49 52.33 76.29 79.49 92.24
20.25 21.77 32.17 57.40 74.78 79.28 92.62
25.36 25.30 36.16 54.40 73.26 80.64 92.94
25.36 33.00 41.49 63.21 75.77 77.77 92.73
24.47 23.21 36.64 59.38 75.05 79.98 92.46
28.44 33.42 41.46 57.22 74.04 79.22 92.76
28.44 29.71 34.60 76.15 75.11 79.52 92.55
98.00 98.06 96.75 97.69 74.61 88.41 92.57
