0.31 0.31 0.56 0.69 0.87 0.87 0.69
0.19 0.38 0.31 0.62 0.63 0.75 0.94
0.13 0.25 0.56 4.20 0.87 0.81 1.07
22.70 19.20 18.81 16.67 0.69 2.68 1.12
27.08 24.40 23.75 16.96 7.07 5.21 1.00
25.17 23.93 22.57 14.27 7.69 5.11 1.00
24.19 23.27 21.28 12.97 6.80 4.33 1.37
24.28 21.67 20.34 12.50 6.50 3.69 1.13
22.99 20.91 19.42 12.55 5.60 3.51 1.19
22.67 20.35 17.32 8.07 5.08 3.51 1.06
20.53 18.62 16.25 9.92 4.75 2.53 1.13
20.50 18.69 16.31 10.04 4.51 2.90 1.18
19.59 17.00 16.28 10.49 4.02 3.13 1.13
19.71 17.53 16.06 9.01 3.57 2.84 1.13
20.85 17.78 18.17 8.98 4.06 2.65 1.31
19.43 18.30 15.66 8.73 5.76 3.31 1.06
19.51 18.01 15.25 9.76 3.45 2.84 1.06
18.38 16.91 15.02 8.46 4.21 2.78 1.31
16.93 16.36 13.74 9.05 4.22 2.65 1.12
17.22 14.17 12.24 6.76 4.08 3.20 1.19
17.00 17.06 13.11 7.83 3.88 3.02 1.12
15.49 13.50 12.66 8.18 4.45 3.08 1.12
15.94 15.14 13.72 4.93 4.13 3.14 1.19
1.00 0.75 1.25 1.12 4.33 1.98 1.31
