Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:05:20 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:05:21 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:05:21 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:05:22 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:05:22 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:05:23 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:05:23 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:05:24 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:05:24 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:05:25 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:05:25 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:05:26 AM     0   2489751         -    5.00    2.00    0.00    0.00    7.00     6  python3
12:05:26 AM     0         -   2489751    5.00    2.00    0.00    0.00    7.00     6  |__python3
12:05:27 AM     0   2489751         -    8.00    3.00    0.00    2.00   11.00     8  python3
12:05:27 AM     0         -   2489751    8.00    3.00    0.00    2.00   11.00     8  |__python3
12:05:28 AM     0   2489751         -    6.00    3.00    0.00    4.00    9.00     1  python3
12:05:28 AM     0         -   2489751    6.00    3.00    0.00    4.00    9.00     1  |__python3
12:05:29 AM     0   2489751         -    7.00    2.00    0.00    4.00    9.00    10  python3
12:05:29 AM     0         -   2489751    7.00    2.00    0.00    4.00    9.00    10  |__python3
12:05:30 AM     0   2489751         -   10.00    2.00    0.00   12.00   12.00     5  python3
12:05:30 AM     0         -   2489751   10.00    2.00    0.00   12.00   12.00     5  |__python3
12:05:31 AM     0   2489751         -    8.00    4.00    0.00    8.00   12.00    15  python3
12:05:31 AM     0         -   2489751    8.00    4.00    0.00    8.00   12.00    15  |__python3
12:05:32 AM     0   2489751         -    9.90    2.97    0.00    7.92   12.87     2  python3
12:05:32 AM     0         -   2489751    9.90    2.97    0.00    7.92   12.87     2  |__python3
12:05:33 AM     0   2489751         -    9.00    3.00    0.00    9.00   12.00    15  python3
12:05:33 AM     0         -   2489751    9.00    3.00    0.00    9.00   12.00    15  |__python3
12:05:34 AM     0   2489751         -    7.00    2.00    0.00   13.00    9.00     2  python3
12:05:34 AM     0         -   2489751    7.00    2.00    0.00   13.00    9.00     2  |__python3
12:05:35 AM     0   2489751         -   12.00    2.00    0.00   13.00   14.00    15  python3
12:05:35 AM     0         -   2489751   12.00    2.00    0.00   13.00   14.00    15  |__python3
12:05:36 AM     0   2489751         -   12.87    2.97    0.00   13.86   15.84    12  python3
12:05:36 AM     0         -   2489751   12.87    2.97    0.00   13.86   15.84    12  |__python3
12:05:37 AM     0   2489751         -    9.00    4.00    0.00   13.00   13.00    12  python3
12:05:37 AM     0         -   2489751    9.00    4.00    0.00   13.00   13.00    12  |__python3
12:05:38 AM     0   2489751         -    7.00    1.00    0.00    3.00    8.00     8  python3
12:05:38 AM     0         -   2489751    7.00    1.00    0.00    3.00    8.00     8  |__python3
12:05:39 AM     0   2489751         -   13.00    4.00    0.00    8.00   17.00     2  python3
12:05:39 AM     0         -   2489751   13.00    4.00    0.00    8.00   17.00     2  |__python3
12:05:40 AM     0   2489751         -   10.00    3.00    0.00   23.00   13.00     4  python3
12:05:40 AM     0         -   2489751   10.00    3.00    0.00   23.00   13.00     4  |__python3
12:05:41 AM     0   2489751         -    9.00    4.00    0.00   16.00   13.00    13  python3
12:05:41 AM     0         -   2489751    9.00    4.00    0.00   16.00   13.00    13  |__python3
12:05:42 AM     0   2489751         -   20.00    4.00    0.00   13.00   24.00     4  python3
12:05:42 AM     0         -   2489751   20.00    4.00    0.00   13.00   24.00     4  |__python3
12:05:43 AM     0   2489751         -   12.00    4.00    0.00   16.00   16.00    13  python3
12:05:43 AM     0         -   2489751   12.00    4.00    0.00   16.00   16.00    13  |__python3
12:05:44 AM     0   2489751         -   18.00    5.00    0.00   14.00   23.00    12  python3
12:05:44 AM     0         -   2489751   18.00    5.00    0.00   14.00   23.00    12  |__python3
12:05:45 AM     0   2489751         -   22.00    4.00    0.00   14.00   26.00     2  python3
12:05:45 AM     0         -   2489751   22.00    4.00    0.00   14.00   26.00     2  |__python3
12:05:46 AM     0   2489751         -    5.00    2.00    0.00   15.00    7.00     5  python3
12:05:46 AM     0         -   2489751    5.00    2.00    0.00   15.00    7.00     5  |__python3
12:05:47 AM     0   2489751         -    5.00    1.00    0.00    9.00    6.00    10  python3
12:05:47 AM     0         -   2489751    5.00    1.00    0.00    9.00    6.00    10  |__python3
12:05:48 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:05:48 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:05:49 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:05:49 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:05:50 AM     0   2489751         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:05:50 AM     0         -   2489751    0.00    0.00    0.00    0.00    0.00    10  |__python3

Average:        0   2489751         -    7.50    2.17    0.00    7.69    9.66     -  python3
Average:        0         -   2489751    7.50    2.17    0.00    7.69    9.66     -  |__python3
