Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:05:20 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:05:21 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:05:21 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:05:22 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:05:22 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:05:23 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:05:23 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:05:24 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:05:24 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:05:25 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:05:25 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:05:26 AM     0   2489621         -   11.00    3.00    0.00    1.00   14.00     1  python3
12:05:26 AM     0         -   2489621   11.00    3.00    0.00    1.00   14.00     1  |__python3
12:05:27 AM     0   2489621         -    6.00    3.00    0.00    3.00    9.00     0  python3
12:05:27 AM     0         -   2489621    6.00    3.00    0.00    3.00    9.00     0  |__python3
12:05:28 AM     0   2489621         -    6.00    2.00    0.00    2.00    8.00    14  python3
12:05:28 AM     0         -   2489621    6.00    2.00    0.00    2.00    8.00    14  |__python3
12:05:29 AM     0   2489621         -    8.00    3.00    0.00    4.00   11.00     7  python3
12:05:29 AM     0         -   2489621    8.00    3.00    0.00    4.00   11.00     7  |__python3
12:05:30 AM     0   2489621         -    7.00    3.00    0.00    8.00   10.00    13  python3
12:05:30 AM     0         -   2489621    7.00    3.00    0.00    8.00   10.00    13  |__python3
12:05:31 AM     0   2489621         -   13.00    3.00    0.00    9.00   16.00     4  python3
12:05:31 AM     0         -   2489621   13.00    3.00    0.00    9.00   16.00     4  |__python3
12:05:32 AM     0   2489621         -    5.00    2.00    0.00    7.00    7.00    10  python3
12:05:32 AM     0         -   2489621    5.00    2.00    0.00    7.00    7.00    10  |__python3
12:05:33 AM     0   2489621         -    8.00    3.00    0.00    7.00   11.00     4  python3
12:05:33 AM     0         -   2489621    8.00    3.00    0.00    7.00   11.00     4  |__python3
12:05:34 AM     0   2489621         -   11.00    3.00    0.00   11.00   14.00     5  python3
12:05:34 AM     0         -   2489621   11.00    3.00    0.00   11.00   14.00     5  |__python3
12:05:35 AM     0   2489621         -    6.00    1.00    0.00   12.00    7.00     0  python3
12:05:35 AM     0         -   2489621    6.00    1.00    0.00   12.00    7.00     0  |__python3
12:05:36 AM     0   2489621         -    7.00    2.00    0.00    8.00    9.00     7  python3
12:05:36 AM     0         -   2489621    7.00    2.00    0.00    8.00    9.00     8  |__python3
12:05:37 AM     0   2489621         -    5.00    2.00    0.00   12.00    7.00    11  python3
12:05:37 AM     0         -   2489621    5.00    2.00    0.00   12.00    7.00    11  |__python3
12:05:38 AM     0   2489621         -    9.00    3.00    0.00   12.00   12.00     4  python3
12:05:38 AM     0         -   2489621    9.00    3.00    0.00   12.00   12.00     4  |__python3
12:05:39 AM     0   2489621         -   12.00    2.00    0.00   12.00   14.00     5  python3
12:05:39 AM     0         -   2489621   12.00    2.00    0.00   12.00   14.00     5  |__python3
12:05:40 AM     0   2489621         -   14.00    4.00    0.00   17.00   18.00     5  python3
12:05:40 AM     0         -   2489621   14.00    4.00    0.00   17.00   18.00     5  |__python3
12:05:41 AM     0   2489621         -   12.00    3.00    0.00   19.00   15.00     6  python3
12:05:41 AM     0         -   2489621   12.00    3.00    0.00   19.00   15.00     6  |__python3
12:05:42 AM     0   2489621         -   25.00    6.00    0.00   16.00   31.00     8  python3
12:05:42 AM     0         -   2489621   25.00    6.00    0.00   16.00   31.00     8  |__python3
12:05:43 AM     0   2489621         -   11.00    4.00    0.00   15.00   15.00     2  python3
12:05:43 AM     0         -   2489621   11.00    4.00    0.00   15.00   15.00     2  |__python3
12:05:44 AM     0   2489621         -   14.00    5.00    0.00   19.00   19.00     2  python3
12:05:44 AM     0         -   2489621   14.00    5.00    0.00   19.00   19.00     2  |__python3
12:05:45 AM     0   2489621         -   31.00    8.00    0.00   16.00   39.00     6  python3
12:05:45 AM     0         -   2489621   31.00    8.00    0.00   16.00   39.00     6  |__python3
12:05:46 AM     0   2489621         -   19.00    8.00    0.00   17.00   27.00     1  python3
12:05:46 AM     0         -   2489621   19.00    8.00    0.00   17.00   27.00     1  |__python3
12:05:47 AM     0   2489621         -    4.00    1.00    0.00    8.00    5.00     6  python3
12:05:47 AM     0         -   2489621    4.00    1.00    0.00    8.00    5.00     6  |__python3
12:05:48 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:05:48 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:05:49 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:05:49 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:05:50 AM     0   2489621         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:05:50 AM     0         -   2489621    0.00    0.00    0.00    0.00    0.00     6  |__python3

Average:        0   2489621         -    8.13    2.47    0.00    7.83   10.60     -  python3
Average:        0         -   2489621    8.13    2.47    0.00    7.83   10.60     -  |__python3
