0.06 0.00 0.00 0.06 0.06 0.00 0.00
0.00 0.06 0.00 0.06 0.00 0.00 0.00
4.81 3.95 2.50 0.12 9.36 0.06 3.81
28.24 33.25 33.42 28.54 38.89 19.96 38.93
34.25 35.37 40.76 43.13 42.17 44.51 37.94
34.86 36.54 37.87 44.67 44.12 43.93 33.54
31.57 38.10 36.97 40.04 41.64 33.88 34.10
32.36 38.37 38.02 37.82 39.83 33.60 32.94
32.40 37.48 37.91 38.30 40.56 33.71 33.62
32.35 37.75 36.37 39.35 41.02 33.13 33.02
32.27 38.16 36.56 39.33 40.74 34.09 33.29
32.50 38.80 36.38 39.62 38.58 33.17 34.34
32.58 38.29 37.28 40.41 38.43 33.90 33.75
33.12 38.58 37.47 40.20 39.51 34.21 33.46
32.42 38.74 36.78 38.50 40.33 34.87 34.53
32.98 37.92 37.61 35.90 40.85 35.00 32.75
32.75 35.00 37.31 36.52 41.72 35.68 33.54
34.54 35.19 37.01 37.56 39.01 36.26 35.11
36.93 35.67 33.77 37.71 35.74 36.78 33.27
38.39 36.73 35.09 38.24 36.40 37.15 33.44
39.18 37.45 36.47 38.46 36.38 36.57 34.39
39.00 37.51 36.79 37.92 35.24 37.77 33.87
39.54 37.23 37.15 38.61 35.42 37.09 34.18
39.69 36.78 32.14 39.17 36.69 37.28 34.34
40.37 36.52 31.73 33.73 36.40 39.00 34.41
29.55 32.50 30.45 33.97 28.38 39.49 30.92
0.44 0.00 0.25 8.54 0.75 24.04 0.00
