0.06 0.19 0.19 0.75 0.94 1.06 0.69
0.25 0.37 0.62 0.69 1.25 0.94 0.56
11.86 4.14 1.69 0.62 7.30 0.94 1.19
27.80 25.46 27.55 18.71 25.47 7.26 13.72
27.49 26.28 22.84 22.03 23.08 17.18 4.79
29.04 24.36 26.45 20.15 20.60 19.15 4.43
28.89 23.17 26.37 23.47 22.81 24.55 4.04
27.93 25.51 25.41 25.17 23.03 24.61 4.10
27.78 25.42 26.06 24.72 22.69 23.01 4.04
28.54 22.31 26.82 23.55 21.75 23.79 3.79
28.31 23.37 26.81 23.65 22.83 23.75 3.93
28.50 22.78 26.49 23.56 24.53 21.13 4.02
28.53 22.67 25.62 22.42 23.27 21.20 3.68
26.94 23.21 24.88 23.11 22.16 21.51 3.80
28.04 22.89 25.75 24.25 22.10 22.23 3.96
27.69 24.28 24.66 25.44 20.49 19.31 3.66
27.59 26.11 25.37 24.34 18.99 21.46 3.86
28.16 24.94 27.16 24.00 22.91 21.06 3.50
24.26 24.33 27.98 24.20 24.01 19.58 3.77
23.35 23.86 26.32 22.71 23.34 20.47 3.92
23.01 22.47 25.74 23.01 21.56 17.97 3.79
22.49 22.48 25.05 22.65 22.04 18.05 3.79
23.16 24.54 25.57 22.28 19.86 18.11 3.80
22.31 23.81 28.00 21.97 20.35 18.83 3.96
21.61 22.50 30.11 25.41 19.82 18.31 3.98
23.82 27.31 29.76 23.99 20.80 19.22 3.47
5.83 27.60 9.00 15.14 3.12 18.90 2.57
