0.50 0.50 0.50 1.68 1.94 2.07 1.37
0.56 0.87 1.12 1.32 2.38 1.94 1.07
27.78 14.22 8.30 1.75 26.15 1.88 10.11
92.74 91.83 92.94 72.47 92.82 41.30 72.43
92.30 92.34 92.22 92.70 92.33 93.98 46.83
93.62 91.38 91.89 93.14 91.79 93.87 41.08
91.22 91.88 92.39 91.72 91.92 94.05 41.19
92.39 92.20 91.03 92.30 92.63 94.25 39.78
92.95 93.07 91.46 91.86 91.62 94.00 40.58
91.76 92.25 92.89 91.94 91.39 95.08 39.73
92.34 92.11 92.44 92.10 92.08 94.42 39.90
92.12 91.55 92.11 91.50 92.88 94.08 41.15
91.26 92.13 92.46 90.85 91.27 93.87 39.99
91.81 91.54 91.77 91.73 93.13 94.00 40.12
90.24 90.94 92.52 91.81 93.68 92.84 41.09
90.23 91.16 92.12 91.54 93.63 94.25 39.52
90.76 91.17 92.29 92.26 92.82 92.64 39.89
92.37 91.94 92.72 91.94 93.32 93.40 41.18
91.72 91.41 93.21 92.18 93.92 92.83 40.20
92.13 90.69 92.73 90.70 94.09 93.15 40.10
92.41 92.13 92.53 91.75 92.75 93.93 40.86
90.65 92.30 91.88 91.43 93.59 93.84 40.40
91.72 92.09 92.51 91.18 93.25 93.09 40.60
91.69 91.29 90.96 91.84 93.17 93.77 41.09
91.18 92.77 93.13 93.19 93.37 93.12 41.13
77.43 91.62 93.16 92.31 82.02 93.68 37.42
9.84 29.10 13.25 37.94 7.31 73.82 3.57
