0.06 0.00 0.06 0.06 0.00 0.13 0.19
0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.25 0.31 0.00 0.12 0.25 0.00 0.06
0.69 0.38 0.87 0.44 0.62 0.38 0.44
0.63 0.68 0.44 0.69 0.56 0.50 0.37
0.56 0.62 0.62 0.56 0.50 0.56 0.25
0.81 0.62 0.75 0.56 0.68 0.56 0.31
0.50 0.69 0.38 0.69 0.44 0.69 0.25
0.56 0.69 0.81 0.44 0.69 0.50 0.25
0.62 0.44 0.69 0.81 0.56 0.75 0.31
0.82 0.56 0.44 0.68 0.50 0.44 0.31
0.56 0.75 0.75 0.44 0.81 0.62 0.31
0.56 0.56 0.44 0.68 0.37 0.69 0.19
0.69 0.62 0.81 0.56 0.69 0.44 0.19
0.75 0.50 0.62 0.56 0.56 0.75 0.37
0.56 0.62 0.56 0.63 0.62 0.38 0.31
0.57 0.81 0.68 0.62 0.56 0.69 0.19
0.81 0.50 0.50 0.69 0.56 0.44 0.19
0.63 0.63 0.81 0.63 0.56 0.75 0.43
0.44 0.56 0.56 0.56 0.68 0.56 0.25
0.75 0.50 0.50 0.62 0.56 0.56 0.19
0.50 0.81 0.75 0.63 0.62 0.68 0.31
0.68 0.56 0.50 0.63 0.50 0.44 0.19
0.44 0.56 0.75 0.63 0.56 0.69 0.37
0.68 0.63 0.69 0.50 0.69 0.44 0.19
0.56 0.50 0.50 0.62 0.44 0.74 0.37
0.19 0.06 0.06 0.19 0.12 0.31 0.00
