99.50 99.50 99.50 98.32 98.06 97.93 98.63
99.44 99.13 98.88 98.68 97.62 98.06 98.93
72.22 85.78 91.70 98.25 73.85 98.12 89.89
7.26 8.17 7.06 27.53 7.18 58.70 27.57
7.70 7.66 7.78 7.30 7.67 6.02 53.17
6.38 8.62 8.11 6.86 8.21 6.13 58.92
8.78 8.12 7.61 8.28 8.08 5.95 58.81
7.61 7.80 8.97 7.70 7.37 5.75 60.22
7.05 6.93 8.54 8.14 8.38 6.00 59.42
8.24 7.75 7.11 8.06 8.61 4.92 60.27
7.66 7.89 7.56 7.90 7.92 5.58 60.10
7.88 8.45 7.89 8.50 7.12 5.92 58.85
8.74 7.87 7.54 9.15 8.73 6.13 60.01
8.19 8.46 8.23 8.27 6.87 6.00 59.88
9.76 9.06 7.48 8.19 6.32 7.16 58.91
9.77 8.84 7.88 8.46 6.37 5.75 60.48
9.24 8.83 7.71 7.74 7.18 7.36 60.11
7.63 8.06 7.28 8.06 6.68 6.60 58.82
8.28 8.59 6.79 7.82 6.08 7.17 59.80
7.87 9.31 7.27 9.30 5.91 6.85 59.90
7.59 7.87 7.47 8.25 7.25 6.07 59.14
9.35 7.70 8.12 8.57 6.41 6.16 59.60
8.28 7.91 7.49 8.82 6.75 6.91 59.40
8.31 8.71 9.04 8.16 6.83 6.23 58.91
8.82 7.23 6.87 6.81 6.63 6.88 58.87
22.57 8.38 6.84 7.69 17.98 6.32 62.58
90.16 70.90 86.75 62.06 92.69 26.18 96.43
