0.25 0.31 0.25 0.81 0.94 0.88 0.50
0.31 0.44 0.50 0.56 1.13 1.00 0.50
10.86 5.83 4.12 0.87 9.18 0.88 5.05
36.01 32.75 31.11 24.78 27.84 13.64 19.28
29.93 30.01 28.19 26.78 26.51 31.66 3.73
29.16 29.86 26.89 27.70 26.57 30.23 2.87
29.95 29.86 28.30 27.58 26.79 35.07 2.68
31.48 27.57 27.23 28.62 29.28 35.35 2.49
32.15 29.36 26.68 28.35 27.69 36.77 2.67
30.23 31.75 29.01 28.23 28.07 37.42 2.61
30.95 30.02 28.50 28.44 28.01 36.03 2.37
30.56 29.22 28.49 27.81 28.96 39.09 2.48
29.59 30.61 29.11 27.33 29.13 38.09 2.37
31.06 29.06 28.62 27.80 30.71 37.84 2.68
28.97 28.81 29.24 28.44 30.62 34.99 2.23
29.00 28.33 29.29 29.57 31.54 39.56 2.73
29.79 29.24 28.92 30.77 31.54 34.81 2.30
28.85 31.31 28.04 29.69 30.84 35.51 2.38
29.84 30.78 30.59 29.58 33.54 35.72 2.66
29.96 29.54 30.76 29.20 33.67 34.97 2.49
29.48 31.59 29.82 29.65 34.19 38.82 2.49
28.60 31.37 29.23 30.16 35.68 37.27 2.36
28.33 29.76 29.28 29.60 37.48 37.46 2.43
29.19 30.08 30.01 30.07 35.57 36.97 2.41
28.45 33.12 30.61 33.54 36.46 35.38 2.55
23.50 31.31 32.45 33.66 32.39 34.22 2.66
3.39 1.44 3.94 14.07 3.31 30.57 1.00
