Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

12:04:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:24 AM    5    6.06    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   88.89
12:04:24 AM    6    6.06    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   88.89
12:04:24 AM    7    8.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
12:04:24 AM    8    5.94    0.00    3.96    0.00    0.99    1.98    0.00    0.00    0.00   87.13
12:04:24 AM    9    8.08    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   86.87
12:04:24 AM   10    6.93    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   87.13
12:04:24 AM   11    7.92    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   87.13
12:04:24 AM   12    7.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
12:04:24 AM   13    9.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
12:04:24 AM   14    9.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
12:04:24 AM   15    4.90    0.00    3.92    0.00    0.98    1.96    0.00    0.00    0.00   88.24

12:04:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:25 AM  all   55.36    0.00   27.52    0.00    0.75    8.71    0.00    0.00    0.00    7.65
12:04:25 AM    0   56.57    0.00   28.28    0.00    0.00    7.07    0.00    0.00    0.00    8.08
12:04:25 AM    1   51.00    0.00   27.00    0.00    1.00    8.00    0.00    0.00    0.00   13.00
12:04:25 AM    2   57.00    0.00   26.00    0.00    1.00   11.00    0.00    0.00    0.00    5.00
12:04:25 AM    3   54.00    0.00   28.00    0.00    1.00   10.00    0.00    0.00    0.00    7.00
12:04:25 AM    4   53.47    0.00   29.70    0.00    0.99    6.93    0.00    0.00    0.00    8.91
12:04:25 AM    5   57.00    0.00   27.00    0.00    1.00    9.00    0.00    0.00    0.00    6.00
12:04:25 AM    6   53.00    0.00   30.00    0.00    1.00    9.00    0.00    0.00    0.00    7.00
12:04:25 AM    7   55.56    0.00   30.30    0.00    1.01    8.08    0.00    0.00    0.00    5.05
12:04:25 AM    8   62.24    0.00   26.53    0.00    0.00    7.14    0.00    0.00    0.00    4.08
12:04:25 AM    9   60.40    0.00   24.75    0.00    0.99    7.92    0.00    0.00    0.00    5.94
12:04:25 AM   10   56.57    0.00   27.27    0.00    1.01    9.09    0.00    0.00    0.00    6.06
12:04:25 AM   11   54.00    0.00   26.00    0.00    1.00   12.00    0.00    0.00    0.00    7.00
12:04:25 AM   12   54.55    0.00   27.27    0.00    1.01    8.08    0.00    0.00    0.00    9.09
12:04:25 AM   13   58.00    0.00   30.00    0.00    0.00    7.00    0.00    0.00    0.00    5.00
12:04:25 AM   14   51.00    0.00   27.00    0.00    1.00    9.00    0.00    0.00    0.00   12.00
