Linux 5.14.0-427.el9.x86_64 (centos) 	06/26/2024 	_x86_64_	(16 CPU)

11:50:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:36 PM    5    8.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:50:36 PM    6    8.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
11:50:36 PM    7    8.16    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   88.78
11:50:36 PM    8    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
11:50:36 PM    9    6.12    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   87.76
11:50:36 PM   10    5.94    0.00    4.95    0.00    0.00    1.98    0.00    0.00    0.00   87.13
11:50:36 PM   11    5.94    0.00    2.97    0.00    0.99    1.98    0.00    0.00    0.00   88.12
11:50:36 PM   12    7.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
11:50:36 PM   13    7.07    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   89.90
11:50:36 PM   14    5.10    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   88.78
11:50:36 PM   15    7.07    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   87.88

11:50:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:37 PM  all   55.20    0.00   26.94    0.00    0.94    8.71    0.00    0.00    0.00    8.21
11:50:37 PM    0   56.44    0.00   26.73    0.00    0.99    8.91    0.00    0.00    0.00    6.93
11:50:37 PM    1   59.00    0.00   29.00    0.00    1.00    7.00    0.00    0.00    0.00    4.00
11:50:37 PM    2   52.53    0.00   28.28    0.00    1.01    9.09    0.00    0.00    0.00    9.09
11:50:37 PM    3   58.59    0.00   26.26    0.00    1.01    8.08    0.00    0.00    0.00    6.06
11:50:37 PM    4   51.00    0.00   28.00    0.00    1.00    9.00    0.00    0.00    0.00   11.00
11:50:37 PM    5   52.53    0.00   25.25    0.00    1.01    8.08    0.00    0.00    0.00   13.13
11:50:37 PM    6   58.00    0.00   27.00    0.00    1.00    8.00    0.00    0.00    0.00    6.00
11:50:37 PM    7   54.46    0.00   28.71    0.00    0.99    8.91    0.00    0.00    0.00    6.93
11:50:37 PM    8   56.57    0.00   26.26    0.00    1.01    8.08    0.00    0.00    0.00    8.08
11:50:37 PM    9   56.44    0.00   25.74    0.00    0.99    7.92    0.00    0.00    0.00    8.91
11:50:37 PM   10   56.57    0.00   25.25    0.00    1.01    8.08    0.00    0.00    0.00    9.09
