Linux 5.14.0-427.el9.x86_64 (centos) 	06/26/2024 	_x86_64_	(16 CPU)

11:51:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:47 PM    5   35.00    0.00   18.00    0.00    1.00    7.00    0.00    0.00    0.00   39.00
11:51:47 PM    6   38.78    0.00   19.39    0.00    0.00    8.16    0.00    0.00    0.00   33.67
11:51:47 PM    7   36.63    0.00   20.79    0.00    0.99    7.92    0.00    0.00    0.00   33.66
11:51:47 PM    8   39.60    0.00   19.80    0.00    0.00    9.90    0.00    0.00    0.00   30.69
11:51:47 PM    9   37.62    0.00   20.79    0.00    0.00    9.90    0.00    0.00    0.00   31.68
11:51:47 PM   10   39.00    0.00   21.00    0.00    1.00    6.00    0.00    0.00    0.00   33.00
11:51:47 PM   11   36.63    0.00   18.81    0.00    0.00    9.90    0.00    0.00    0.00   34.65
11:51:47 PM   12   36.00    0.00   19.00    0.00    0.00    7.00    0.00    0.00    0.00   38.00
11:51:47 PM   13   37.37    0.00   18.18    0.00    0.00    7.07    0.00    0.00    0.00   37.37
11:51:47 PM   14   35.00    0.00   19.00    0.00    0.00    9.00    0.00    0.00    0.00   37.00
11:51:47 PM   15   33.33    0.00   18.18    0.00    0.00    9.09    0.00    0.00    0.00   39.39

11:51:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:48 PM  all   49.44    0.00   24.40    0.00    0.50   11.29    0.00    0.00    0.00   14.37
11:51:48 PM    0   47.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00   16.00
11:51:48 PM    1   51.02    0.00   25.51    0.00    0.00   15.31    0.00    0.00    0.00    8.16
11:51:48 PM    2   50.00    0.00   23.00    0.00    1.00    9.00    0.00    0.00    0.00   17.00
11:51:48 PM    3   52.58    0.00   21.65    0.00    0.00    9.28    0.00    0.00    0.00   16.49
11:51:48 PM    4   41.00    0.00   21.00    0.00    0.00   15.00    0.00    0.00    0.00   23.00
11:51:48 PM    5   43.43    0.00   22.22    0.00    0.00   10.10    0.00    0.00    0.00   24.24
11:51:48 PM    6   46.08    0.00   22.55    0.00    0.98   12.75    0.00    0.00    0.00   17.65
11:51:48 PM    7   48.48    0.00   22.22    0.00    0.00   11.11    0.00    0.00    0.00   18.18
11:51:48 PM    8   54.00    0.00   30.00    0.00    1.00   10.00    0.00    0.00    0.00    5.00
11:51:48 PM    9   51.00    0.00   27.00    0.00    1.00   13.00    0.00    0.00    0.00    8.00
11:51:48 PM   10   55.00    0.00   27.00    0.00    0.00   10.00    0.00    0.00    0.00    8.00
11:51:48 PM   11   54.55    0.00   22.22    0.00    0.00   10.10    0.00    0.00    0.00   13.13
11:51:48 PM   12   48.51    0.00   26.73    0.00    0.99   11.88    0.00    0.00    0.00   11.88
11:51:48 PM   13   48.00    0.00   25.00    0.00    1.00    9.00    0.00    0.00    0.00   17.00
11:51:48 PM   14   51.52    0.00   25.25    0.00    0.00   10.10    0.00    0.00    0.00   13.13
11:51:48 PM   15   49.00    0.00   25.00    0.00    1.00   12.00    0.00    0.00    0.00   13.00

11:51:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:49 PM  all   48.18    0.00   23.93    0.00    0.44   11.24    0.00    0.00    0.00   16.21
11:51:49 PM    0   38.78    0.00   22.45    0.00    0.00   12.24    0.00    0.00    0.00   26.53
11:51:49 PM    1   53.00    0.00   26.00    0.00    1.00   11.00    0.00    0.00    0.00    9.00
11:51:49 PM    2   43.43    0.00   20.20    0.00    0.00   12.12    0.00    0.00    0.00   24.24
11:51:49 PM    3   46.00    0.00   27.00    0.00    1.00   11.00    0.00    0.00    0.00   15.00
11:51:49 PM    4   45.45    0.00   23.23    0.00    1.01    8.08    0.00    0.00    0.00   22.22
11:51:49 PM    5   46.00    0.00   24.00    0.00    1.00   11.00    0.00    0.00    0.00   18.00
11:51:49 PM    6   49.49    0.00   24.24    0.00    0.00   10.10    0.00    0.00    0.00   16.16
11:51:49 PM    7   44.44    0.00   22.22    0.00    0.00   13.13    0.00    0.00    0.00   20.20
11:51:49 PM    8   56.00    0.00   24.00    0.00    0.00   10.00    0.00    0.00    0.00   10.00
11:51:49 PM    9   48.48    0.00   25.25    0.00    0.00   11.11    0.00    0.00    0.00   15.15
11:51:49 PM   10   54.55    0.00   24.24    0.00    1.01   13.13    0.00    0.00    0.00    7.07
11:51:49 PM   11   50.50    0.00   26.73    0.00    0.99   11.88    0.00    0.00    0.00    9.90
11:51:49 PM   12   50.51    0.00   25.25    0.00    0.00   12.12    0.00    0.00    0.00   12.12
11:51:49 PM   13   47.52    0.00   22.77    0.00    0.00    9.90    0.00    0.00    0.00   19.80
11:51:49 PM   14   50.51    0.00   24.24    0.00    1.01    9.09    0.00    0.00    0.00   15.15
11:51:49 PM   15   46.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   19.00

11:51:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:50 PM  all   48.55    0.00   23.27    0.00    0.44   11.32    0.00    0.00    0.00   16.42
11:51:50 PM    0   51.00    0.00   22.00    0.00    1.00   11.00    0.00    0.00    0.00   15.00
11:51:50 PM    1   53.47    0.00   26.73    0.00    0.00   10.89    0.00    0.00    0.00    8.91
11:51:50 PM    2   47.52    0.00   22.77    0.00    0.99   10.89    0.00    0.00    0.00   17.82
11:51:50 PM    3   48.00    0.00   24.00    0.00    0.00   10.00    0.00    0.00    0.00   18.00
11:51:50 PM    4   49.49    0.00   23.23    0.00    0.00   13.13    0.00    0.00    0.00   14.14
11:51:50 PM    5   48.48    0.00   26.26    0.00    0.00   10.10    0.00    0.00    0.00   15.15
11:51:50 PM    6   47.00    0.00   22.00    0.00    1.00   13.00    0.00    0.00    0.00   17.00
11:51:50 PM    7   41.18    0.00   22.55    0.00    0.98   11.76    0.00    0.00    0.00   23.53
11:51:50 PM    8   55.56    0.00   25.25    0.00    0.00   10.10    0.00    0.00    0.00    9.09
11:51:50 PM    9   46.46    0.00   19.19    0.00    1.01   11.11    0.00    0.00    0.00   22.22
11:51:50 PM   10   54.55    0.00   27.27    0.00    0.00   10.10    0.00    0.00    0.00    8.08
11:51:50 PM   11   48.45    0.00   24.74    0.00    0.00   12.37    0.00    0.00    0.00   14.43
11:51:50 PM   12   51.02    0.00   23.47    0.00    0.00   10.20    0.00    0.00    0.00   15.31
11:51:50 PM   13   46.94    0.00   21.43    0.00    1.02   11.22    0.00    0.00    0.00   19.39
11:51:50 PM   14   44.44    0.00   19.19    0.00    0.00   14.14    0.00    0.00    0.00   22.22
11:51:50 PM   15   43.43    0.00   22.22    0.00    1.01   11.11    0.00    0.00    0.00   22.22

11:51:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:51 PM  all   48.97    0.00   21.67    0.00    0.44   11.77    0.00    0.00    0.00   17.16
11:51:51 PM    0   48.48    0.00   20.20    0.00    0.00    9.09    0.00    0.00    0.00   22.22
11:51:51 PM    1   49.49    0.00   22.22    0.00    1.01   14.14    0.00    0.00    0.00   13.13
11:51:51 PM    2   48.48    0.00   23.23    0.00    0.00   14.14    0.00    0.00    0.00   14.14
11:51:51 PM    3   50.50    0.00   21.78    0.00    0.99   11.88    0.00    0.00    0.00   14.85
11:51:51 PM    4   42.42    0.00   21.21    0.00    1.01   15.15    0.00    0.00    0.00   20.20
11:51:51 PM    5   47.00    0.00   20.00    0.00    0.00    9.00    0.00    0.00    0.00   24.00
11:51:51 PM    6   47.00    0.00   21.00    0.00    0.00   12.00    0.00    0.00    0.00   20.00
11:51:51 PM    7   45.45    0.00   22.22    0.00    0.00   11.11    0.00    0.00    0.00   21.21
11:51:51 PM    8   53.47    0.00   25.74    0.00    0.99   12.87    0.00    0.00    0.00    6.93
11:51:51 PM    9   50.00    0.00   21.43    0.00    0.00   11.22    0.00    0.00    0.00   17.35
11:51:51 PM   10   55.00    0.00   23.00    0.00    0.00   11.00    0.00    0.00    0.00   11.00
11:51:51 PM   11   53.47    0.00   22.77    0.00    0.99   13.86    0.00    0.00    0.00    8.91
11:51:51 PM   12   47.52    0.00   21.78    0.00    0.99   11.88    0.00    0.00    0.00   17.82
11:51:51 PM   13   51.00    0.00   19.00    0.00    0.00    9.00    0.00    0.00    0.00   21.00
11:51:51 PM   14   41.58    0.00   17.82    0.00    0.99   12.87    0.00    0.00    0.00   26.73
11:51:51 PM   15   52.53    0.00   23.23    0.00    0.00    9.09    0.00    0.00    0.00   15.15

11:51:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:52 PM  all   49.22    0.00   20.91    0.00    0.38   11.77    0.00    0.00    0.00   17.72
11:51:52 PM    0   44.55    0.00   20.79    0.00    0.99   11.88    0.00    0.00    0.00   21.78
11:51:52 PM    1   55.00    0.00   22.00    0.00    0.00   11.00    0.00    0.00    0.00   12.00
11:51:52 PM    2   45.45    0.00   14.14    0.00    0.00   12.12    0.00    0.00    0.00   28.28
11:51:52 PM    3   51.00    0.00   20.00    0.00    0.00   10.00    0.00    0.00    0.00   19.00
