Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

01:26:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:43 AM    5   43.00    0.00   26.00    0.00    1.00    2.00    0.00    0.00    0.00   28.00
01:26:43 AM    6   34.69    0.00   23.47    0.00    0.00    9.18    0.00    0.00    0.00   32.65
01:26:43 AM    7   36.00    0.00   23.00    0.00    0.00    8.00    0.00    0.00    0.00   33.00
01:26:43 AM    8   35.00    0.00   22.00    0.00    1.00    7.00    0.00    0.00    0.00   35.00
01:26:43 AM    9   36.00    0.00   25.00    0.00    1.00    8.00    0.00    0.00    0.00   30.00
01:26:43 AM   10   33.66    0.00   20.79    0.00    0.99   10.89    0.00    0.00    0.00   33.66
01:26:43 AM   11   41.00    0.00   25.00    0.00    1.00    5.00    0.00    0.00    0.00   28.00
01:26:43 AM   12   36.36    0.00   22.22    0.00    1.01    9.09    0.00    0.00    0.00   31.31
01:26:43 AM   13   41.41    0.00   23.23    0.00    0.00    7.07    0.00    0.00    0.00   28.28
01:26:43 AM   14   36.63    0.00   22.77    0.00    0.99    9.90    0.00    0.00    0.00   29.70
01:26:43 AM   15   35.00    0.00   21.00    0.00    1.00   11.00    0.00    0.00    0.00   32.00

01:26:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:44 AM  all   49.16    0.00   27.08    0.00    0.38   11.19    0.00    0.00    0.00   12.20
01:26:44 AM    0   55.56    0.00   28.28    0.00    0.00    7.07    0.00    0.00    0.00    9.09
01:26:44 AM    1   38.38    0.00   23.23    0.00    1.01   22.22    0.00    0.00    0.00   15.15
01:26:44 AM    2   45.45    0.00   27.27    0.00    1.01   11.11    0.00    0.00    0.00   15.15
01:26:44 AM    3   51.00    0.00   32.00    0.00    0.00   12.00    0.00    0.00    0.00    5.00
