[00:27:56] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:27:56] port 1: br-int, UPCALL packets:0 errors:0
[00:27:56] port 2: ens16f1np1, UPCALL packets:348030 errors:0
[00:27:56] port 3: pod1, UPCALL packets:36 errors:0
[00:27:56] port 4: pod2, UPCALL packets:88 errors:0
[00:27:56] port 5: pod3, UPCALL packets:37 errors:0
[00:27:56] port 6: pod4, UPCALL packets:23 errors:0
[00:27:56] port 7: pod5, UPCALL packets:17 errors:0
[00:27:56] port 8: pod6, UPCALL packets:49 errors:0
[00:27:56] port 9: pod7, UPCALL packets:40 errors:0
[00:27:56] port 10: pod8, UPCALL packets:41 errors:0
[00:27:57] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:27:57] port 1: br-int, UPCALL packets:0 errors:0
[00:27:57] port 2: ens16f1np1, UPCALL packets:348030 errors:0
[00:27:57] port 3: pod1, UPCALL packets:36 errors:0
[00:27:57] port 4: pod2, UPCALL packets:88 errors:0
[00:27:57] port 5: pod3, UPCALL packets:37 errors:0
[00:27:57] port 6: pod4, UPCALL packets:23 errors:0
[00:27:57] port 7: pod5, UPCALL packets:17 errors:0
[00:27:57] port 8: pod6, UPCALL packets:49 errors:0
[00:27:57] port 9: pod7, UPCALL packets:40 errors:0
[00:27:57] port 10: pod8, UPCALL packets:41 errors:0
[00:27:58] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:27:58] port 1: br-int, UPCALL packets:0 errors:0
[00:27:58] port 2: ens16f1np1, UPCALL packets:348030 errors:0
[00:27:58] port 3: pod1, UPCALL packets:36 errors:0
[00:27:58] port 4: pod2, UPCALL packets:88 errors:0
[00:27:58] port 5: pod3, UPCALL packets:37 errors:0
[00:27:58] port 6: pod4, UPCALL packets:23 errors:0
[00:27:58] port 7: pod5, UPCALL packets:17 errors:0
[00:27:58] port 8: pod6, UPCALL packets:49 errors:0
[00:27:58] port 9: pod7, UPCALL packets:40 errors:0
[00:27:58] port 10: pod8, UPCALL packets:41 errors:0
[00:27:59] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:27:59] port 1: br-int, UPCALL packets:0 errors:0
[00:27:59] port 2: ens16f1np1, UPCALL packets:348030 errors:0
[00:27:59] port 3: pod1, UPCALL packets:36 errors:0
[00:27:59] port 4: pod2, UPCALL packets:88 errors:0
[00:27:59] port 5: pod3, UPCALL packets:37 errors:0
[00:27:59] port 6: pod4, UPCALL packets:23 errors:0
[00:27:59] port 7: pod5, UPCALL packets:17 errors:0
[00:27:59] port 8: pod6, UPCALL packets:49 errors:0
[00:27:59] port 9: pod7, UPCALL packets:40 errors:0
[00:27:59] port 10: pod8, UPCALL packets:41 errors:0
[00:28:00] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:28:00] port 1: br-int, UPCALL packets:0 errors:0
[00:28:00] port 2: ens16f1np1, UPCALL packets:383344 errors:0
[00:28:00] port 3: pod1, UPCALL packets:54 errors:0
[00:28:00] port 4: pod2, UPCALL packets:94 errors:0
[00:28:00] port 5: pod3, UPCALL packets:43 errors:0
[00:28:00] port 6: pod4, UPCALL packets:26 errors:0
[00:28:00] port 7: pod5, UPCALL packets:21 errors:0
[00:28:00] port 8: pod6, UPCALL packets:53 errors:0
[00:28:00] port 9: pod7, UPCALL packets:42 errors:0
[00:28:00] port 10: pod8, UPCALL packets:43 errors:0
[00:28:01] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:28:01] port 1: br-int, UPCALL packets:0 errors:0
[00:28:01] port 2: ens16f1np1, UPCALL packets:420825 errors:0
[00:28:01] port 3: pod1, UPCALL packets:54 errors:0
[00:28:01] port 4: pod2, UPCALL packets:102 errors:0
[00:28:01] port 5: pod3, UPCALL packets:53 errors:0
[00:28:01] port 6: pod4, UPCALL packets:26 errors:0
[00:28:01] port 7: pod5, UPCALL packets:25 errors:0
[00:28:01] port 8: pod6, UPCALL packets:55 errors:0
[00:28:01] port 9: pod7, UPCALL packets:42 errors:0
[00:28:01] port 10: pod8, UPCALL packets:43 errors:0
[00:28:02] port 0: ovs-system, UPCALL packets:108367 errors:39550
[00:28:02] port 1: br-int, UPCALL packets:0 errors:0
[00:28:02] port 2: ens16f1np1, UPCALL packets:465212 errors:0
[00:28:02] port 3: pod1, UPCALL packets:54 errors:0
[00:28:02] port 4: pod2, UPCALL packets:102 errors:0
