[00:06:33] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:33] port 1: br-int, UPCALL packets:0 errors:0
[00:06:33] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:33] port 3: pod1, UPCALL packets:52 errors:0
[00:06:33] port 4: pod2, UPCALL packets:54 errors:0
[00:06:33] port 5: pod3, UPCALL packets:41 errors:0
[00:06:33] port 6: pod4, UPCALL packets:64 errors:0
[00:06:33] port 7: pod5, UPCALL packets:37 errors:0
[00:06:33] port 8: pod6, UPCALL packets:27 errors:0
[00:06:33] port 9: pod7, UPCALL packets:103 errors:0
[00:06:33] port 10: pod8, UPCALL packets:65 errors:0
[00:06:34] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:34] port 1: br-int, UPCALL packets:0 errors:0
[00:06:34] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:34] port 3: pod1, UPCALL packets:52 errors:0
[00:06:34] port 4: pod2, UPCALL packets:54 errors:0
[00:06:34] port 5: pod3, UPCALL packets:41 errors:0
[00:06:34] port 6: pod4, UPCALL packets:64 errors:0
[00:06:34] port 7: pod5, UPCALL packets:37 errors:0
[00:06:34] port 8: pod6, UPCALL packets:27 errors:0
[00:06:34] port 9: pod7, UPCALL packets:103 errors:0
[00:06:34] port 10: pod8, UPCALL packets:65 errors:0
[00:06:35] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:35] port 1: br-int, UPCALL packets:0 errors:0
[00:06:35] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:35] port 3: pod1, UPCALL packets:52 errors:0
[00:06:35] port 4: pod2, UPCALL packets:54 errors:0
[00:06:35] port 5: pod3, UPCALL packets:41 errors:0
[00:06:35] port 6: pod4, UPCALL packets:64 errors:0
[00:06:35] port 7: pod5, UPCALL packets:37 errors:0
[00:06:35] port 8: pod6, UPCALL packets:27 errors:0
[00:06:35] port 9: pod7, UPCALL packets:103 errors:0
[00:06:35] port 10: pod8, UPCALL packets:65 errors:0
[00:06:36] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:36] port 1: br-int, UPCALL packets:0 errors:0
[00:06:36] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:36] port 3: pod1, UPCALL packets:52 errors:0
[00:06:36] port 4: pod2, UPCALL packets:54 errors:0
[00:06:36] port 5: pod3, UPCALL packets:41 errors:0
[00:06:36] port 6: pod4, UPCALL packets:64 errors:0
[00:06:36] port 7: pod5, UPCALL packets:37 errors:0
[00:06:36] port 8: pod6, UPCALL packets:27 errors:0
[00:06:36] port 9: pod7, UPCALL packets:103 errors:0
[00:06:36] port 10: pod8, UPCALL packets:65 errors:0
[00:06:37] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:37] port 1: br-int, UPCALL packets:0 errors:0
[00:06:37] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:37] port 3: pod1, UPCALL packets:52 errors:0
[00:06:37] port 4: pod2, UPCALL packets:54 errors:0
[00:06:37] port 5: pod3, UPCALL packets:41 errors:0
[00:06:37] port 6: pod4, UPCALL packets:64 errors:0
[00:06:37] port 7: pod5, UPCALL packets:37 errors:0
[00:06:37] port 8: pod6, UPCALL packets:27 errors:0
[00:06:37] port 9: pod7, UPCALL packets:103 errors:0
[00:06:37] port 10: pod8, UPCALL packets:65 errors:0
[00:06:38] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:38] port 1: br-int, UPCALL packets:0 errors:0
[00:06:38] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:38] port 3: pod1, UPCALL packets:52 errors:0
[00:06:38] port 4: pod2, UPCALL packets:54 errors:0
[00:06:38] port 5: pod3, UPCALL packets:41 errors:0
[00:06:38] port 6: pod4, UPCALL packets:64 errors:0
[00:06:38] port 7: pod5, UPCALL packets:37 errors:0
[00:06:38] port 8: pod6, UPCALL packets:27 errors:0
[00:06:38] port 9: pod7, UPCALL packets:103 errors:0
[00:06:38] port 10: pod8, UPCALL packets:65 errors:0
[00:06:39] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:39] port 1: br-int, UPCALL packets:0 errors:0
[00:06:39] port 2: ens16f1np1, UPCALL packets:176788 errors:0
[00:06:39] port 3: pod1, UPCALL packets:52 errors:0
[00:06:39] port 4: pod2, UPCALL packets:54 errors:0
[00:06:39] port 5: pod3, UPCALL packets:41 errors:0
[00:06:39] port 6: pod4, UPCALL packets:64 errors:0
[00:06:39] port 7: pod5, UPCALL packets:37 errors:0
[00:06:39] port 8: pod6, UPCALL packets:27 errors:0
[00:06:39] port 9: pod7, UPCALL packets:103 errors:0
[00:06:39] port 10: pod8, UPCALL packets:65 errors:0
[00:06:40] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:40] port 1: br-int, UPCALL packets:0 errors:0
[00:06:40] port 2: ens16f1np1, UPCALL packets:224611 errors:0
[00:06:40] port 3: pod1, UPCALL packets:57 errors:0
[00:06:40] port 4: pod2, UPCALL packets:56 errors:0
[00:06:40] port 5: pod3, UPCALL packets:45 errors:0
[00:06:40] port 6: pod4, UPCALL packets:64 errors:0
[00:06:40] port 7: pod5, UPCALL packets:37 errors:0
[00:06:40] port 8: pod6, UPCALL packets:30 errors:0
[00:06:40] port 9: pod7, UPCALL packets:103 errors:0
[00:06:40] port 10: pod8, UPCALL packets:67 errors:0
[00:06:41] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:41] port 1: br-int, UPCALL packets:0 errors:0
[00:06:41] port 2: ens16f1np1, UPCALL packets:325895 errors:0
[00:06:41] port 3: pod1, UPCALL packets:59 errors:0
[00:06:41] port 4: pod2, UPCALL packets:56 errors:0
[00:06:41] port 5: pod3, UPCALL packets:45 errors:0
[00:06:41] port 6: pod4, UPCALL packets:74 errors:0
[00:06:41] port 7: pod5, UPCALL packets:54 errors:0
[00:06:41] port 8: pod6, UPCALL packets:30 errors:0
[00:06:41] port 9: pod7, UPCALL packets:112 errors:0
[00:06:41] port 10: pod8, UPCALL packets:67 errors:0
[00:06:42] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:42] port 1: br-int, UPCALL packets:0 errors:0
[00:06:42] port 2: ens16f1np1, UPCALL packets:381089 errors:0
[00:06:42] port 3: pod1, UPCALL packets:72 errors:0
[00:06:42] port 4: pod2, UPCALL packets:56 errors:0
[00:06:42] port 5: pod3, UPCALL packets:47 errors:0
[00:06:42] port 6: pod4, UPCALL packets:74 errors:0
[00:06:42] port 7: pod5, UPCALL packets:54 errors:0
[00:06:42] port 8: pod6, UPCALL packets:33 errors:0
[00:06:42] port 9: pod7, UPCALL packets:125 errors:0
[00:06:42] port 10: pod8, UPCALL packets:70 errors:0
[00:06:43] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:43] port 1: br-int, UPCALL packets:0 errors:0
[00:06:43] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:43] port 3: pod1, UPCALL packets:72 errors:0
[00:06:43] port 4: pod2, UPCALL packets:56 errors:0
[00:06:43] port 5: pod3, UPCALL packets:47 errors:0
[00:06:43] port 6: pod4, UPCALL packets:74 errors:0
[00:06:43] port 7: pod5, UPCALL packets:54 errors:0
[00:06:43] port 8: pod6, UPCALL packets:33 errors:0
[00:06:43] port 9: pod7, UPCALL packets:125 errors:0
[00:06:43] port 10: pod8, UPCALL packets:70 errors:0
[00:06:44] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:44] port 1: br-int, UPCALL packets:0 errors:0
[00:06:44] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:44] port 3: pod1, UPCALL packets:72 errors:0
[00:06:44] port 4: pod2, UPCALL packets:56 errors:0
[00:06:44] port 5: pod3, UPCALL packets:47 errors:0
[00:06:44] port 6: pod4, UPCALL packets:74 errors:0
[00:06:44] port 7: pod5, UPCALL packets:54 errors:0
[00:06:44] port 8: pod6, UPCALL packets:33 errors:0
[00:06:44] port 9: pod7, UPCALL packets:125 errors:0
[00:06:44] port 10: pod8, UPCALL packets:70 errors:0
[00:06:45] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:45] port 1: br-int, UPCALL packets:0 errors:0
[00:06:45] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:45] port 3: pod1, UPCALL packets:72 errors:0
[00:06:45] port 4: pod2, UPCALL packets:56 errors:0
[00:06:45] port 5: pod3, UPCALL packets:47 errors:0
[00:06:45] port 6: pod4, UPCALL packets:74 errors:0
[00:06:45] port 7: pod5, UPCALL packets:54 errors:0
[00:06:45] port 8: pod6, UPCALL packets:33 errors:0
[00:06:45] port 9: pod7, UPCALL packets:125 errors:0
[00:06:45] port 10: pod8, UPCALL packets:70 errors:0
[00:06:46] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:46] port 1: br-int, UPCALL packets:0 errors:0
[00:06:46] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:46] port 3: pod1, UPCALL packets:73 errors:0
[00:06:46] port 4: pod2, UPCALL packets:57 errors:0
[00:06:46] port 5: pod3, UPCALL packets:48 errors:0
[00:06:46] port 6: pod4, UPCALL packets:75 errors:0
[00:06:46] port 7: pod5, UPCALL packets:55 errors:0
[00:06:46] port 8: pod6, UPCALL packets:34 errors:0
[00:06:46] port 9: pod7, UPCALL packets:126 errors:0
[00:06:46] port 10: pod8, UPCALL packets:71 errors:0
[00:06:47] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:47] port 1: br-int, UPCALL packets:0 errors:0
[00:06:47] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:47] port 3: pod1, UPCALL packets:73 errors:0
[00:06:47] port 4: pod2, UPCALL packets:57 errors:0
[00:06:47] port 5: pod3, UPCALL packets:48 errors:0
[00:06:47] port 6: pod4, UPCALL packets:75 errors:0
[00:06:47] port 7: pod5, UPCALL packets:55 errors:0
[00:06:47] port 8: pod6, UPCALL packets:34 errors:0
[00:06:47] port 9: pod7, UPCALL packets:126 errors:0
[00:06:47] port 10: pod8, UPCALL packets:71 errors:0
[00:06:48] port 0: ovs-system, UPCALL packets:107294 errors:39550
[00:06:48] port 1: br-int, UPCALL packets:0 errors:0
[00:06:48] port 2: ens16f1np1, UPCALL packets:403256 errors:0
[00:06:48] port 3: pod1, UPCALL packets:73 errors:0
[00:06:48] port 4: pod2, UPCALL packets:57 errors:0
[00:06:48] port 5: pod3, UPCALL packets:48 errors:0
[00:06:48] port 6: pod4, UPCALL packets:75 errors:0
[00:06:48] port 7: pod5, UPCALL packets:55 errors:0
[00:06:48] port 8: pod6, UPCALL packets:34 errors:0
[00:06:48] port 9: pod7, UPCALL packets:126 errors:0
