Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:20:28 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:20:29 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:20:29 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:20:30 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:20:30 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:20:31 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:20:31 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:20:32 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:20:32 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:20:33 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:20:33 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:20:34 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:20:34 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:20:35 AM     0   2513410         -    1.00    0.00    0.00    0.00    1.00     7  python3
12:20:35 AM     0         -   2513410    1.00    0.00    0.00    0.00    1.00     7  |__python3
12:20:36 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     9  python3
12:20:36 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     9  |__python3
12:20:37 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     8  python3
12:20:37 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     8  |__python3
12:20:38 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:20:38 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:20:39 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    14  python3
12:20:39 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    14  |__python3
12:20:40 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     3  python3
12:20:40 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     3  |__python3
12:20:41 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00    12  python3
12:20:41 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00    12  |__python3
12:20:42 AM     0   2513410         -    0.00    1.00    0.00    1.00    1.00     6  python3
12:20:42 AM     0         -   2513410    0.00    1.00    0.00    1.00    1.00     6  |__python3
12:20:43 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     0  python3
12:20:43 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     0  |__python3
12:20:44 AM     0   2513410         -    1.00    0.00    0.00    0.00    1.00     7  python3
12:20:44 AM     0         -   2513410    1.00    0.00    0.00    0.00    1.00     7  |__python3
12:20:45 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     9  python3
12:20:45 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     9  |__python3
12:20:46 AM     0   2513410         -    0.00    1.00    0.00    0.00    1.00    14  python3
12:20:46 AM     0         -   2513410    0.00    1.00    0.00    0.00    1.00    14  |__python3
12:20:47 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:20:47 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:20:48 AM     0   2513410         -    7.00    4.00    0.00   18.00   11.00     0  python3
12:20:48 AM     0         -   2513410    7.00    4.00    0.00   18.00   11.00     0  |__python3
12:20:49 AM     0   2513410         -   15.00   10.00    0.00   39.00   25.00     8  python3
12:20:49 AM     0         -   2513410   15.00   10.00    0.00   39.00   25.00     8  |__python3
12:20:50 AM     0   2513410         -   15.00   12.00    0.00   33.00   27.00    12  python3
12:20:50 AM     0         -   2513410   15.00   12.00    0.00   33.00   27.00    12  |__python3
12:20:51 AM     0   2513410         -   19.00   10.00    0.00   25.00   29.00    14  python3
12:20:51 AM     0         -   2513410   19.00   10.00    0.00   25.00   29.00    14  |__python3
12:20:52 AM     0   2513410         -   16.00   10.00    0.00   26.00   26.00     3  python3
12:20:52 AM     0         -   2513410   16.00   10.00    0.00   26.00   26.00     3  |__python3
12:20:53 AM     0   2513410         -   18.00   13.00    0.00   23.00   31.00    15  python3
12:20:53 AM     0         -   2513410   18.00   13.00    0.00   23.00   31.00    15  |__python3
12:20:54 AM     0   2513410         -   12.00    6.00    0.00   20.00   18.00     7  python3
12:20:54 AM     0         -   2513410   12.00    6.00    0.00   20.00   18.00     7  |__python3
12:20:55 AM     0   2513410         -    0.00    1.00    0.00    0.00    1.00     7  python3
12:20:55 AM     0         -   2513410    0.00    1.00    0.00    0.00    1.00     7  |__python3
12:20:56 AM     0   2513410         -    1.00    0.00    0.00    0.00    1.00     7  python3
12:20:56 AM     0         -   2513410    1.00    0.00    0.00    0.00    1.00     7  |__python3
12:20:57 AM     0   2513410         -    0.00    0.00    0.00    0.00    0.00     7  python3
12:20:57 AM     0         -   2513410    0.00    0.00    0.00    0.00    0.00     7  |__python3

Average:        0   2513410         -    3.62    2.34    0.00    6.38    5.97     -  python3
Average:        0         -   2513410    3.62    2.34    0.00    6.38    5.97     -  |__python3
