Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:00:48 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:00:49 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:49 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:50 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:50 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:51 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:51 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:52 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:52 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:53 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:53 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:54 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     6  python3
12:00:54 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     6  |__python3
12:00:55 AM     0   2480784         -    4.00    1.00    0.00    1.00    5.00    15  python3
12:00:55 AM     0         -   2480784    4.00    1.00    0.00    1.00    5.00    15  |__python3
12:00:56 AM     0   2480784         -   14.00    7.00    0.00    7.00   21.00     7  python3
12:00:56 AM     0         -   2480784   14.00    7.00    0.00    7.00   21.00     7  |__python3
12:00:57 AM     0   2480784         -    8.00    4.00    0.00    6.00   12.00     3  python3
12:00:57 AM     0         -   2480784    8.00    4.00    0.00    6.00   12.00     3  |__python3
12:00:58 AM     0   2480784         -    8.00    3.00    0.00    4.00   11.00     1  python3
12:00:58 AM     0         -   2480784    8.00    3.00    0.00    4.00   11.00     1  |__python3
12:00:59 AM     0   2480784         -    6.00    2.00    0.00    4.00    8.00     9  python3
12:00:59 AM     0         -   2480784    6.00    2.00    0.00    4.00    8.00     9  |__python3
12:01:00 AM     0   2480784         -    8.00    2.00    0.00    1.00   10.00     9  python3
12:01:00 AM     0         -   2480784    8.00    2.00    0.00    1.00   10.00     9  |__python3
12:01:01 AM     0   2480784         -    7.00    2.00    0.00    7.00    9.00    15  python3
12:01:01 AM     0         -   2480784    7.00    2.00    0.00    7.00    9.00    15  |__python3
12:01:02 AM     0   2480784         -    8.00    3.00    0.00    7.00   11.00     1  python3
12:01:02 AM     0         -   2480784    8.00    3.00    0.00    7.00   11.00     1  |__python3
12:01:03 AM     0   2480784         -    6.00    2.00    0.00    5.00    8.00     5  python3
12:01:03 AM     0         -   2480784    6.00    2.00    0.00    5.00    8.00     5  |__python3
12:01:04 AM     0   2480784         -   14.00    4.00    0.00    5.00   18.00     3  python3
12:01:04 AM     0         -   2480784   14.00    4.00    0.00    5.00   18.00     3  |__python3
12:01:05 AM     0   2480784         -    9.00    3.00    0.00   13.00   12.00    15  python3
12:01:05 AM     0         -   2480784    9.00    3.00    0.00   13.00   12.00    15  |__python3
12:01:06 AM     0   2480784         -    5.94    2.97    0.00    3.96    8.91     5  python3
12:01:06 AM     0         -   2480784    5.94    2.97    0.00    3.96    8.91     5  |__python3
12:01:07 AM     0   2480784         -   10.00    4.00    0.00   12.00   14.00     3  python3
12:01:07 AM     0         -   2480784   10.00    4.00    0.00   12.00   14.00     3  |__python3
12:01:08 AM     0   2480784         -   11.00    2.00    0.00    9.00   13.00     4  python3
12:01:08 AM     0         -   2480784   11.00    2.00    0.00    9.00   13.00     4  |__python3
12:01:09 AM     0   2480784         -    7.00    2.00    0.00   15.00    9.00    13  python3
12:01:09 AM     0         -   2480784    7.00    2.00    0.00   15.00    9.00    13  |__python3
12:01:10 AM     0   2480784         -   10.00    4.00    0.00    8.00   14.00    14  python3
12:01:10 AM     0         -   2480784   10.00    4.00    0.00    8.00   14.00    14  |__python3
12:01:11 AM     0   2480784         -   11.00    2.00    0.00   18.00   13.00     6  python3
12:01:11 AM     0         -   2480784   11.00    2.00    0.00   18.00   13.00     6  |__python3
12:01:12 AM     0   2480784         -   15.00    4.00    0.00   13.00   19.00    12  python3
12:01:12 AM     0         -   2480784   15.00    4.00    0.00   13.00   19.00    12  |__python3
12:01:13 AM     0   2480784         -   15.00    4.00    0.00   22.00   19.00     8  python3
12:01:13 AM     0         -   2480784   15.00    4.00    0.00   22.00   19.00     8  |__python3
12:01:14 AM     0   2480784         -   11.00    4.00    0.00   20.00   15.00    11  python3
12:01:14 AM     0         -   2480784   11.00    4.00    0.00   20.00   15.00    11  |__python3
12:01:15 AM     0   2480784         -    7.00    1.00    0.00    5.00    8.00     7  python3
12:01:15 AM     0         -   2480784    7.00    1.00    0.00    5.00    8.00     7  |__python3
12:01:16 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     7  python3
12:01:16 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     7  |__python3
12:01:17 AM     0   2480784         -    0.00    0.00    0.00    0.00    0.00     7  python3
12:01:17 AM     0         -   2480784    0.00    0.00    0.00    0.00    0.00     7  |__python3

Average:        0   2480784         -    6.72    2.17    0.00    6.41    8.89     -  python3
Average:        0         -   2480784    6.72    2.17    0.00    6.41    8.89     -  |__python3
