Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:47:43 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:47:44 PM   978     53758         -    8.00    5.00    0.00    0.00   13.00     8  ovs-vswitchd
03:47:44 PM   978         -     53758    0.00    0.00    0.00    0.00    0.00     8  |__ovs-vswitchd
03:47:44 PM   978         -     53760    0.00    0.00    0.00    0.00    0.00     2  |__handler1
03:47:44 PM   978         -     53761    0.00    0.00    0.00    0.00    0.00     4  |__handler2
03:47:44 PM   978         -     53762    0.00    0.00    0.00    0.00    0.00     3  |__handler3
03:47:44 PM   978         -     53763    0.00    0.00    0.00    0.00    0.00     5  |__urcu4
03:47:44 PM   978         -     53764    0.00    0.00    0.00    0.00    0.00    10  |__handler5
03:47:44 PM   978         -     53765    0.00    0.00    0.00    0.00    0.00    10  |__handler6
03:47:44 PM   978         -     53766    0.00    0.00    0.00    0.00    0.00    11  |__handler7
03:47:44 PM   978         -     53767    0.00    0.00    0.00    0.00    0.00     6  |__handler8
03:47:44 PM   978         -     53768    0.00    0.00    0.00    0.00    0.00     9  |__handler9
03:47:44 PM   978         -     53769    0.00    0.00    0.00    0.00    0.00     1  |__handler10
03:47:44 PM   978         -     53770    0.00    0.00    0.00    0.00    0.00    12  |__handler11
03:47:44 PM   978         -     53771    0.00    0.00    0.00    0.00    0.00    13  |__handler12
03:47:44 PM   978         -     53772    0.00    0.00    0.00    0.00    0.00    15  |__handler13
03:47:44 PM   978         -     53773    0.00    0.00    0.00    0.00    0.00     7  |__handler14
03:47:44 PM   978         -     53774    0.00    0.00    0.00    0.00    0.00    14  |__handler15
03:47:44 PM   978         -     53775    0.00    0.00    0.00    0.00    0.00     8  |__handler16
03:47:44 PM   978         -     53776    0.00    0.00    0.00    0.00    0.00    15  |__handler17
03:47:44 PM   978         -     53777    1.00    1.00    0.00    0.00    2.00     7  |__revalidator18
03:47:44 PM   978         -     53778    0.00    0.00    0.00    0.00    0.00     0  |__revalidator19
03:47:44 PM   978         -     53779    1.00    1.00    0.00    0.00    2.00     9  |__revalidator20
03:47:44 PM   978         -     53780    1.00    0.00    0.00    0.00    1.00    11  |__revalidator21
03:47:44 PM   978         -     53781    0.00    0.00    0.00    0.00    0.00    13  |__revalidator22
03:47:44 PM   978         -     53782    0.00    0.00    0.00    0.00    0.00     6  |__revalidator23
03:47:44 PM   978         -     53783    1.00    0.00    0.00    0.00    1.00    13  |__revalidator24
03:47:44 PM   978         -     53784    2.00    0.00    0.00    0.00    2.00    14  |__revalidator25
03:47:44 PM   978         -     53785    1.00    1.00    0.00    0.00    2.00    10  |__revalidator26
03:47:44 PM   978         -     53786    1.00    1.00    0.00    0.00    2.00    12  |__revalidator27
03:47:45 PM   978     53758         -    8.00    5.00    0.00    0.00   13.00     8  ovs-vswitchd
03:47:45 PM   978         -     53758    0.00    0.00    0.00    0.00    0.00     8  |__ovs-vswitchd
03:47:45 PM   978         -     53760    0.00    0.00    0.00    0.00    0.00     2  |__handler1
03:47:45 PM   978         -     53761    0.00    0.00    0.00    0.00    0.00     4  |__handler2
03:47:45 PM   978         -     53762    0.00    0.00    0.00    0.00    0.00     3  |__handler3
03:47:45 PM   978         -     53763    0.00    0.00    0.00    0.00    0.00     5  |__urcu4
03:47:45 PM   978         -     53764    0.00    0.00    0.00    0.00    0.00    10  |__handler5
03:47:45 PM   978         -     53765    0.00    0.00    0.00    0.00    0.00    10  |__handler6
03:47:45 PM   978         -     53766    0.00    0.00    0.00    0.00    0.00    11  |__handler7
03:47:45 PM   978         -     53767    0.00    0.00    0.00    0.00    0.00     6  |__handler8
03:47:45 PM   978         -     53768    0.00    0.00    0.00    0.00    0.00     9  |__handler9
03:47:45 PM   978         -     53769    0.00    0.00    0.00    0.00    0.00     1  |__handler10
03:47:45 PM   978         -     53770    0.00    0.00    0.00    0.00    0.00    12  |__handler11
03:47:45 PM   978         -     53771    0.00    0.00    0.00    0.00    0.00    13  |__handler12
03:47:45 PM   978         -     53772    0.00    0.00    0.00    0.00    0.00    15  |__handler13
03:47:45 PM   978         -     53773    0.00    0.00    0.00    0.00    0.00     7  |__handler14
03:47:45 PM   978         -     53774    0.00    0.00    0.00    0.00    0.00    14  |__handler15
03:47:45 PM   978         -     53775    0.00    0.00    0.00    0.00    0.00     8  |__handler16
03:47:45 PM   978         -     53776    0.00    0.00    0.00    0.00    0.00    15  |__handler17
03:47:45 PM   978         -     53777    1.00    1.00    0.00    0.00    2.00     7  |__revalidator18
03:47:45 PM   978         -     53778    1.00    1.00    0.00    0.00    2.00     0  |__revalidator19
03:47:45 PM   978         -     53779    1.00    1.00    0.00    0.00    2.00     9  |__revalidator20
03:47:45 PM   978         -     53780    1.00    1.00    0.00    0.00    2.00    11  |__revalidator21
03:47:45 PM   978         -     53781    1.00    1.00    0.00    0.00    2.00    13  |__revalidator22
03:47:45 PM   978         -     53782    1.00    0.00    0.00    0.00    1.00     6  |__revalidator23
03:47:45 PM   978         -     53783    1.00    0.00    0.00    0.00    1.00    15  |__revalidator24
03:47:45 PM   978         -     53784    0.00    1.00    0.00    0.00    1.00    14  |__revalidator25
03:47:45 PM   978         -     53785    1.00    0.00    0.00    0.00    1.00    10  |__revalidator26
