Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:25:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:25:08 PM   978         -     24105    1.00    5.00    0.00    3.00    6.00     1  |__handler9
03:25:08 PM   978         -     24106    1.00    4.00    0.00    4.00    5.00     2  |__handler10
03:25:08 PM   978         -     24107    1.00    3.00    0.00    4.00    4.00     5  |__handler11
03:25:08 PM   978         -     24108    2.00    5.00    0.00    2.00    7.00    14  |__handler12
03:25:08 PM   978         -     24109    1.00    4.00    0.00    4.00    5.00    15  |__handler13
03:25:08 PM   978         -     24110    2.00    6.00    0.00    1.00    8.00     7  |__handler14
03:25:08 PM   978         -     24111    1.00    5.00    0.00    0.00    6.00     6  |__handler15
03:25:08 PM   978         -     24112    1.00    5.00    0.00    5.00    6.00    12  |__handler16
03:25:08 PM   978         -     24113    1.00    5.00    0.00    3.00    6.00    12  |__handler17
03:25:08 PM   978         -     24114    3.00    2.00    0.00    2.00    5.00    15  |__revalidator18
03:25:08 PM   978         -     24115    4.00    2.00    0.00    3.00    6.00     1  |__revalidator19
03:25:08 PM   978         -     24116    4.00    1.00    0.00    4.00    5.00     0  |__revalidator20
03:25:08 PM   978         -     24117    4.00    2.00    0.00    3.00    6.00     8  |__revalidator21
03:25:08 PM   978         -     24118    2.00    2.00    0.00    4.00    4.00     1  |__revalidator22
03:25:08 PM   978         -     24119    4.00    1.00    0.00    5.00    5.00    14  |__revalidator23
03:25:08 PM   978         -     24120    2.00    1.00    0.00    4.00    3.00     5  |__revalidator24
03:25:08 PM   978         -     24121    5.00    2.00    0.00    2.00    7.00     8  |__revalidator25
03:25:08 PM   978         -     24122    4.00    1.00    0.00    4.00    5.00     0  |__revalidator26
03:25:08 PM   978         -     24123    3.00    2.00    0.00    6.00    5.00    13  |__revalidator27
03:25:08 PM   978         -     25361    0.00    0.00    0.00    0.00    0.00    14  |__ovs-vswitchd
03:25:09 PM   978     24095         -  325.00  482.00    0.00   43.00  807.00    13  ovs-vswitchd
03:25:09 PM   978         -     24095   11.00   11.00    0.00   43.00   22.00    13  |__ovs-vswitchd
03:25:09 PM   978         -     24097   10.00   25.00    0.00   28.00   35.00     1  |__handler1
03:25:09 PM   978         -     24098    8.00   25.00    0.00   26.00   33.00     5  |__handler2
03:25:09 PM   978         -     24099    9.00   23.00    0.00   30.00   32.00    11  |__handler3
03:25:09 PM   978         -     24100    1.00    2.00    0.00    7.00    3.00     2  |__urcu4
03:25:09 PM   978         -     24101    9.00   24.00    0.00   25.00   33.00     0  |__handler5
03:25:09 PM   978         -     24102    6.00   21.00    0.00   29.00   27.00     4  |__handler6
03:25:09 PM   978         -     24103    6.00   15.00    0.00    5.00   21.00     5  |__handler7
03:25:09 PM   978         -     24104   10.00   22.00    0.00   29.00   32.00    10  |__handler8
03:25:09 PM   978         -     24105    9.00   25.00    0.00   31.00   34.00     4  |__handler9
03:25:09 PM   978         -     24106    8.00   22.00    0.00   28.00   30.00     7  |__handler10
03:25:09 PM   978         -     24107    8.00   24.00    0.00   27.00   32.00     7  |__handler11
03:25:09 PM   978         -     24108    9.00   24.00    0.00   26.00   33.00     0  |__handler12
03:25:09 PM   978         -     24109    9.00   25.00    0.00   25.00   34.00     6  |__handler13
03:25:09 PM   978         -     24110    9.00   22.00    0.00   26.00   31.00    11  |__handler14
03:25:09 PM   978         -     24111   11.00   23.00    0.00   24.00   34.00    12  |__handler15
03:25:09 PM   978         -     24112    9.00   20.00    0.00   33.00   29.00     1  |__handler16
03:25:09 PM   978         -     24113   10.00   25.00    0.00   24.00   35.00     8  |__handler17
03:25:09 PM   978         -     24114   15.00    9.00    0.00   29.00   24.00     7  |__revalidator18
03:25:09 PM   978         -     24115   18.00    9.00    0.00   27.00   27.00    10  |__revalidator19
03:25:09 PM   978         -     24116   19.00   10.00    0.00   16.00   29.00     4  |__revalidator20
03:25:09 PM   978         -     24117   16.00   11.00    0.00   21.00   27.00     6  |__revalidator21
03:25:09 PM   978         -     24118   16.00    9.00    0.00   27.00   25.00     3  |__revalidator22
03:25:09 PM   978         -     24119   20.00   13.00    0.00   21.00   33.00     5  |__revalidator23
03:25:09 PM   978         -     24120   18.00   11.00    0.00   25.00   29.00     9  |__revalidator24
03:25:09 PM   978         -     24121   18.00   12.00    0.00   17.00   30.00     2  |__revalidator25
03:25:09 PM   978         -     24122   17.00   11.00    0.00   22.00   28.00    15  |__revalidator26
03:25:09 PM   978         -     24123   17.00   12.00    0.00   16.00   29.00    15  |__revalidator27
03:25:10 PM   978     24095         -  340.00  432.00    0.00   43.00  772.00    13  ovs-vswitchd
03:25:10 PM   978         -     24095   12.00   13.00    0.00   43.00   25.00    13  |__ovs-vswitchd
03:25:10 PM   978         -     24097    9.00   22.00    0.00   24.00   31.00     0  |__handler1
03:25:10 PM   978         -     24098    9.00   20.00    0.00   29.00   29.00    15  |__handler2
03:25:10 PM   978         -     24099    9.00   17.00    0.00   33.00   26.00     6  |__handler3
03:25:10 PM   978         -     24100    2.00    2.00    0.00   10.00    4.00     9  |__urcu4
03:25:10 PM   978         -     24101    9.00   19.00    0.00   25.00   28.00     6  |__handler5
03:25:10 PM   978         -     24102   10.00   20.00    0.00   29.00   30.00     4  |__handler6
03:25:10 PM   978         -     24103    2.00    7.00    0.00    1.00    9.00     2  |__handler7
03:25:10 PM   978         -     24104    9.00   21.00    0.00   31.00   30.00     4  |__handler8
03:25:10 PM   978         -     24105    8.00   19.00    0.00   30.00   27.00    10  |__handler9
03:25:10 PM   978         -     24106    8.00   20.00    0.00   33.00   28.00     1  |__handler10
03:25:10 PM   978         -     24107    8.00   18.00    0.00   33.00   26.00    11  |__handler11
03:25:10 PM   978         -     24108    9.00   17.00    0.00   35.00   26.00    13  |__handler12
03:25:10 PM   978         -     24109    8.00   21.00    0.00   32.00   29.00    12  |__handler13
03:25:10 PM   978         -     24110    8.00   19.00    0.00   35.00   27.00     2  |__handler14
03:25:10 PM   978         -     24111    8.00   19.00    0.00   31.00   27.00     3  |__handler15
03:25:10 PM   978         -     24112    8.00   18.00    0.00   38.00   26.00     7  |__handler16
03:25:10 PM   978         -     24113    9.00   19.00    0.00   28.00   28.00     3  |__handler17
03:25:10 PM   978         -     24114   19.00   12.00    0.00   23.00   31.00    15  |__revalidator18
03:25:10 PM   978         -     24115   19.00   11.00    0.00   24.00   30.00    11  |__revalidator19
03:25:10 PM   978         -     24116   17.00   12.00    0.00   26.00   29.00     2  |__revalidator20
03:25:10 PM   978         -     24117   17.00   14.00    0.00   23.00   31.00    12  |__revalidator21
03:25:10 PM   978         -     24118   20.00   11.00    0.00   16.00   31.00    10  |__revalidator22
03:25:10 PM   978         -     24119   19.00   12.00    0.00   27.00   31.00    14  |__revalidator23
03:25:10 PM   978         -     24120   19.00   12.00    0.00   20.00   31.00     8  |__revalidator24
03:25:10 PM   978         -     24121   21.00   13.00    0.00   16.00   34.00     1  |__revalidator25
03:25:10 PM   978         -     24122   20.00   11.00    0.00   27.00   31.00     8  |__revalidator26
03:25:10 PM   978         -     24123   21.00   10.00    0.00   25.00   31.00     2  |__revalidator27
03:25:10 PM   978         -     25417    0.00    0.00    0.00    0.00    0.00    10  |__handler3
03:25:11 PM   978     24095         -  295.00  423.00    0.00   41.00  718.00     8  ovs-vswitchd
03:25:11 PM   978         -     24095   17.00   15.00    0.00   41.00   32.00     8  |__ovs-vswitchd
03:25:11 PM   978         -     24097   10.00   20.00    0.00   31.00   30.00    14  |__handler1
03:25:11 PM   978         -     24098    7.00   18.00    0.00   31.00   25.00    13  |__handler2
03:25:11 PM   978         -     24099    8.00   20.00    0.00   25.00   28.00    12  |__handler3
03:25:11 PM   978         -     24100    8.00    4.00    0.00   11.00   12.00     1  |__urcu4
03:25:11 PM   978         -     24101    8.00   22.00    0.00   26.00   30.00     5  |__handler5
03:25:11 PM   978         -     24102    9.00   21.00    0.00   25.00   30.00    10  |__handler6
03:25:11 PM   978         -     24103    8.00   15.00    0.00    7.00   23.00     8  |__handler7
03:25:11 PM   978         -     24104    9.00   15.00    0.00   36.00   24.00    14  |__handler8
03:25:11 PM   978         -     24105    9.00   21.00    0.00   27.00   30.00     4  |__handler9
03:25:11 PM   978         -     24106    9.00   20.00    0.00   27.00   29.00     8  |__handler10
03:25:11 PM   978         -     24107   11.00   21.00    0.00   26.00   32.00    12  |__handler11
03:25:11 PM   978         -     24108    7.00   20.00    0.00   28.00   27.00     9  |__handler12
03:25:11 PM   978         -     24109    7.00   19.00    0.00   26.00   26.00     2  |__handler13
03:25:11 PM   978         -     24110    9.00   16.00    0.00   28.00   25.00    15  |__handler14
03:25:11 PM   978         -     24111   10.00   19.00    0.00   28.00   29.00    10  |__handler15
03:25:11 PM   978         -     24112    8.00   19.00    0.00   28.00   27.00     0  |__handler16
03:25:11 PM   978         -     24113    8.00   20.00    0.00   27.00   28.00    11  |__handler17
03:25:11 PM   978         -     24114   16.00   10.00    0.00   24.00   26.00     6  |__revalidator18
03:25:11 PM   978         -     24115   11.00    9.00    0.00   24.00   20.00     9  |__revalidator19
03:25:11 PM   978         -     24116   13.00    9.00    0.00   24.00   22.00    10  |__revalidator20
03:25:11 PM   978         -     24117   15.00   11.00    0.00   21.00   26.00     6  |__revalidator21
03:25:11 PM   978         -     24118   13.00   11.00    0.00   19.00   24.00     0  |__revalidator22
03:25:11 PM   978         -     24119   15.00   11.00    0.00   20.00   26.00     6  |__revalidator23
03:25:11 PM   978         -     24120   12.00   10.00    0.00   23.00   22.00    12  |__revalidator24
03:25:11 PM   978         -     24121   13.00    9.00    0.00   20.00   22.00     2  |__revalidator25
03:25:11 PM   978         -     24122   13.00   10.00    0.00   22.00   23.00     9  |__revalidator26
03:25:11 PM   978         -     24123   15.00   10.00    0.00   18.00   25.00     4  |__revalidator27
03:25:11 PM   978         -     25417    0.00    0.00    0.00    0.00    0.00    13  |__handler3
03:25:12 PM   978     24095         -  293.00  416.00    0.00   39.00  709.00     0  ovs-vswitchd
03:25:12 PM   978         -     24095   17.00   16.00    0.00   39.00   33.00     0  |__ovs-vswitchd
03:25:12 PM   978         -     24097    9.00   18.00    0.00   28.00   27.00     4  |__handler1
03:25:12 PM   978         -     24098    9.00   17.00    0.00   33.00   26.00     6  |__handler2
03:25:12 PM   978         -     24099    8.00   18.00    0.00   24.00   26.00    11  |__handler3
03:25:12 PM   978         -     24100    6.00    5.00    0.00   10.00   11.00     0  |__urcu4
03:25:12 PM   978         -     24101    8.00   16.00    0.00   31.00   24.00     2  |__handler5
03:25:12 PM   978         -     24102    7.00   20.00    0.00   29.00   27.00    15  |__handler6
03:25:12 PM   978         -     24103    9.00   19.00    0.00   27.00   28.00    10  |__handler7
03:25:12 PM   978         -     24104    9.00   20.00    0.00   21.00   29.00     3  |__handler8
03:25:12 PM   978         -     24105   10.00   19.00    0.00   26.00   29.00     2  |__handler9
03:25:12 PM   978         -     24106    9.00   21.00    0.00   19.00   30.00    12  |__handler10
03:25:12 PM   978         -     24107    9.00   16.00    0.00   24.00   25.00     9  |__handler11
03:25:12 PM   978         -     24108   10.00   19.00    0.00   22.00   29.00     6  |__handler12
03:25:12 PM   978         -     24109   10.00   22.00    0.00   20.00   32.00     9  |__handler13
03:25:12 PM   978         -     24110    9.00   19.00    0.00   26.00   28.00     3  |__handler14
03:25:12 PM   978         -     24111    9.00   18.00    0.00   27.00   27.00    15  |__handler15
03:25:12 PM   978         -     24112    8.00   18.00    0.00   28.00   26.00    11  |__handler16
03:25:12 PM   978         -     24113    9.00   18.00    0.00   25.00   27.00    12  |__handler17
03:25:12 PM   978         -     24114   13.00    9.00    0.00   16.00   22.00     4  |__revalidator18
03:25:12 PM   978         -     24115   15.00   10.00    0.00   19.00   25.00    13  |__revalidator19
03:25:12 PM   978         -     24116   13.00    9.00    0.00   19.00   22.00    10  |__revalidator20
03:25:12 PM   978         -     24117   13.00    9.00    0.00   14.00   22.00     8  |__revalidator21
03:25:12 PM   978         -     24118   13.00   10.00    0.00   18.00   23.00    12  |__revalidator22
03:25:12 PM   978         -     24119   11.00    8.00    0.00   23.00   19.00    11  |__revalidator23
03:25:12 PM   978         -     24120   12.00   10.00    0.00   23.00   22.00     5  |__revalidator24
03:25:12 PM   978         -     24121   12.00   10.00    0.00   17.00   22.00     5  |__revalidator25
03:25:12 PM   978         -     24122   13.00   11.00    0.00   18.00   24.00     5  |__revalidator26
03:25:12 PM   978         -     24123   11.00    9.00    0.00   18.00   20.00     8  |__revalidator27
03:25:13 PM   978     24095         -  328.00  385.00    0.00   41.00  713.00    10  ovs-vswitchd
03:25:13 PM   978         -     24095   16.00   15.00    0.00   41.00   31.00    10  |__ovs-vswitchd
03:25:13 PM   978         -     24097    7.00   14.00    0.00   29.00   21.00    14  |__handler1
