Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:47:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:47 PM    5   11.88    0.00   18.81    0.00    0.99   39.60    0.00    0.00    0.00   28.71
03:47:47 PM    6   10.10    0.00   17.17    0.00    0.00   39.39    0.00    0.00    0.00   33.33
03:47:47 PM    7   17.82    0.00   20.79    0.00    0.99   36.63    0.00    0.00    0.00   23.76
03:47:47 PM    8   13.00    0.00   19.00    0.00    0.00   39.00    0.00    0.00    0.00   29.00
03:47:47 PM    9   13.00    0.00   19.00    0.00    0.00   40.00    0.00    0.00    0.00   28.00
03:47:47 PM   10   14.85    0.00   18.81    0.00    0.99   39.60    0.00    0.00    0.00   25.74
03:47:47 PM   11   12.62    0.00   20.39    0.00    0.97   38.83    0.00    0.00    0.00   27.18
03:47:47 PM   12   14.14    0.00   18.18    0.00    0.00   39.39    0.00    0.00    0.00   28.28
03:47:47 PM   13   13.86    0.00   19.80    0.00    0.99   37.62    0.99    0.00    0.00   26.73
03:47:47 PM   14   14.14    0.00   19.19    0.00    0.00   38.38    0.00    0.00    0.00   28.28
03:47:47 PM   15   16.00    0.00   20.00    0.00    0.00   38.00    0.00    0.00    0.00   26.00

03:47:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:48 PM  all    4.79    0.00    3.73    0.00    0.37   37.94    0.00    0.00    0.00   53.17
03:47:48 PM    0    5.83    0.00    4.85    0.00    0.00   35.92    0.00    0.00    0.00   53.40
03:47:48 PM    1    2.97    0.00    2.97    0.00    0.99   39.60    0.00    0.00    0.00   53.47
03:47:48 PM    2    4.00    0.00    3.00    0.00    0.00   38.00    0.00    0.00    0.00   55.00
03:47:48 PM    3    4.95    0.00    4.95    0.00    0.99   37.62    0.00    0.00    0.00   51.49
03:47:48 PM    4    2.00    0.00    3.00    0.00    1.00   37.00    0.00    0.00    0.00   57.00
03:47:48 PM    5    6.93    0.00    5.94    0.00    0.00   38.61    0.00    0.00    0.00   48.51
03:47:48 PM    6    5.05    0.00    3.03    0.00    0.00   37.37    0.00    0.00    0.00   54.55
03:47:48 PM    7    4.04    0.00    3.03    0.00    0.00   35.35    0.00    0.00    0.00   57.58
03:47:48 PM    8    3.06    0.00    2.04    0.00    0.00   39.80    0.00    0.00    0.00   55.10
03:47:48 PM    9    4.90    0.00    3.92    0.00    0.98   39.22    0.00    0.00    0.00   50.98
03:47:48 PM   10    6.93    0.00    4.95    0.00    0.00   37.62    0.00    0.00    0.00   50.50
03:47:48 PM   11    3.06    0.00    3.06    0.00    0.00   38.78    0.00    0.00    0.00   55.10
03:47:48 PM   12    4.95    0.00    2.97    0.00    0.00   38.61    0.00    0.00    0.00   53.47
03:47:48 PM   13    5.00    0.00    4.00    0.00    0.00   38.00    0.00    0.00    0.00   53.00
03:47:48 PM   14    5.83    0.00    3.88    0.00    0.97   37.86    0.00    0.00    0.00   51.46
03:47:48 PM   15    6.93    0.00    3.96    0.00    0.99   37.62    0.00    0.00    0.00   50.50

03:47:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:49 PM  all    4.43    0.00    2.87    0.00    0.25   33.54    0.00    0.00    0.00   58.92
03:47:49 PM    0    3.06    0.00    2.04    0.00    0.00   32.65    0.00    0.00    0.00   62.24
03:47:49 PM    1    4.95    0.00    2.97    0.00    0.00   35.64    0.00    0.00    0.00   56.44
03:47:49 PM    2    6.00    0.00    4.00    0.00    0.00   33.00    0.00    0.00    0.00   57.00
03:47:49 PM    3    4.90    0.00    2.94    0.00    0.00   34.31    0.00    0.00    0.00   57.84
03:47:49 PM    4    3.00    0.00    2.00    0.00    0.00   32.00    0.00    0.00    0.00   63.00
03:47:49 PM    5    5.10    0.00    3.06    0.00    0.00   31.63    0.00    0.00    0.00   60.20
03:47:49 PM    6    1.98    0.00    1.98    0.00    0.99   33.66    0.00    0.00    0.00   61.39
03:47:49 PM    7    4.95    0.00    1.98    0.00    0.00   32.67    0.00    0.00    0.00   60.40
03:47:49 PM    8    5.88    0.00    3.92    0.00    0.98   35.29    0.00    0.00    0.00   53.92
03:47:49 PM    9    2.97    0.00    2.97    0.00    0.00   35.64    0.00    0.00    0.00   58.42
03:47:49 PM   10    1.01    0.00    0.00    0.00    0.00   32.32    0.00    0.00    0.00   66.67
03:47:49 PM   11    4.00    0.00    2.00    0.00    0.00   35.00    0.00    0.00    0.00   59.00
03:47:49 PM   12    5.94    0.00    4.95    0.00    0.99   31.68    0.00    0.00    0.00   56.44
03:47:49 PM   13    5.94    0.00    3.96    0.00    0.99   33.66    0.00    0.00    0.00   55.45
03:47:49 PM   14    5.05    0.00    3.03    0.00    0.00   33.33    0.00    0.00    0.00   58.59
03:47:49 PM   15    6.00    0.00    4.00    0.00    0.00   34.00    0.00    0.00    0.00   56.00

