Time,%usr,%sys,%CPU
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:42,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:43,0.00,0.00,0.00
03:28:44,0.00,4.00,4.00
03:28:44,1.00,2.00,3.00
03:28:44,0.00,3.00,3.00
03:28:44,0.00,3.00,3.00
03:28:44,1.00,2.00,3.00
03:28:44,1.00,1.00,2.00
03:28:44,1.00,3.00,4.00
03:28:44,1.00,3.00,4.00
03:28:44,1.00,4.00,5.00
03:28:44,0.00,3.00,3.00
03:28:44,1.00,4.00,5.00
03:28:44,0.00,3.00,3.00
03:28:44,1.00,4.00,5.00
03:28:44,1.00,3.00,4.00
03:28:44,1.00,2.00,3.00
03:28:44,0.00,3.00,3.00
03:28:44,0.00,0.00,0.00
03:28:45,10.00,18.00,28.00
03:28:45,9.00,20.00,29.00
03:28:45,11.00,20.00,31.00
03:28:45,11.00,24.00,35.00
03:28:45,10.00,22.00,32.00
03:28:45,6.00,12.00,18.00
03:28:45,7.00,22.00,29.00
03:28:45,9.00,21.00,30.00
03:28:45,7.00,16.00,23.00
03:28:45,11.00,19.00,30.00
03:28:45,7.00,18.00,25.00
03:28:45,10.00,23.00,33.00
03:28:45,9.00,22.00,31.00
03:28:45,11.00,21.00,32.00
03:28:45,10.00,21.00,31.00
03:28:45,10.00,23.00,33.00
03:28:46,8.00,17.00,25.00
03:28:46,9.00,18.00,27.00
03:28:46,9.00,17.00,26.00
03:28:46,7.00,17.00,24.00
03:28:46,10.00,18.00,28.00
03:28:46,2.00,6.00,8.00
03:28:46,8.00,17.00,25.00
03:28:46,9.00,18.00,27.00
03:28:46,8.00,16.00,24.00
03:28:46,7.00,15.00,22.00
03:28:46,7.00,16.00,23.00
03:28:46,7.00,16.00,23.00
03:28:46,9.00,18.00,27.00
03:28:46,7.00,17.00,24.00
03:28:46,9.00,18.00,27.00
03:28:46,8.00,18.00,26.00
03:28:46,0.00,0.00,0.00
03:28:47,8.00,16.00,24.00
03:28:47,10.00,15.00,25.00
03:28:47,9.00,14.00,23.00
03:28:47,8.00,17.00,25.00
03:28:47,9.00,17.00,26.00
03:28:47,2.00,3.00,5.00
03:28:47,9.00,16.00,25.00
03:28:47,7.00,15.00,22.00
03:28:47,9.00,15.00,24.00
03:28:47,7.00,16.00,23.00
03:28:47,9.00,17.00,26.00
03:28:47,7.00,14.00,21.00
03:28:47,8.00,17.00,25.00
03:28:47,10.00,16.00,26.00
03:28:47,7.00,15.00,22.00
03:28:47,9.00,15.00,24.00
03:28:48,11.00,18.00,29.00
